year,지역,value
2001,0.전국,
2002,0.전국,
2003,0.전국,
2004,0.전국,
2005,0.전국,
2006,0.전국,
2007,0.전국,
2008,0.전국,
2009,0.전국,
2010,0.전국,
2011,0.전국,
2012,0.전국,
2013,0.전국,1.92
2014,0.전국,1.47
2015,0.전국,1.5
2016,0.전국,1.51
2017,0.전국,1.53
2018,0.전국,1.54
2019,0.전국,1.54
2020,0.전국,1.6
2021,0.전국,
2001,1.수도권,
2002,1.수도권,
2003,1.수도권,
2004,1.수도권,
2005,1.수도권,
2006,1.수도권,
2007,1.수도권,
2008,1.수도권,
2009,1.수도권,
2010,1.수도권,
2011,1.수도권,
2012,1.수도권,
2013,1.수도권,1.880346566
2014,1.수도권,1.377758861
2015,1.수도권,1.383447924
2016,1.수도권,1.401955882
2017,1.수도권,1.436270699
2018,1.수도권,1.461395973
2019,1.수도권,1.473440136
2020,1.수도권,1.509538674
2021,1.수도권,
2001,2.충청권,
2002,2.충청권,
2003,2.충청권,
2004,2.충청권,
2005,2.충청권,
2006,2.충청권,
2007,2.충청권,
2008,2.충청권,
2009,2.충청권,
2010,2.충청권,
2011,2.충청권,
2012,2.충청권,
2013,2.충청권,2.231073735
2014,2.충청권,1.734285553
2015,2.충청권,1.768368164
2016,2.충청권,1.769177037
2017,2.충청권,1.768898385
2018,2.충청권,1.772777158
2019,2.충청권,1.76733816
2020,2.충청권,1.764741283
2021,2.충청권,
2001,3.호남권,
2002,3.호남권,
2003,3.호남권,
2004,3.호남권,
2005,3.호남권,
2006,3.호남권,
2007,3.호남권,
2008,3.호남권,
2009,3.호남권,
2010,3.호남권,
2011,3.호남권,
2012,3.호남권,
2013,3.호남권,2.472138737
2014,3.호남권,1.962345606
2015,3.호남권,1.976466078
2016,3.호남권,1.992511909
2017,3.호남권,2.006489987
2018,3.호남권,2.017545548
2019,3.호남권,2.027837866
2020,3.호남권,2.049498154
2021,3.호남권,
2001,4.대경권,
2002,4.대경권,
2003,4.대경권,
2004,4.대경권,
2005,4.대경권,
2006,4.대경권,
2007,4.대경권,
2008,4.대경권,
2009,4.대경권,
2010,4.대경권,
2011,4.대경권,
2012,4.대경권,
2013,4.대경권,1.875636401
2014,4.대경권,1.476429244
2015,4.대경권,1.539258794
2016,4.대경권,1.573267022
2017,4.대경권,1.593819453
2018,4.대경권,1.600413532
2019,4.대경권,1.617979755
2020,4.대경권,1.639829792
2021,4.대경권,
2001,5.동남권,
2002,5.동남권,
2003,5.동남권,
2004,5.동남권,
2005,5.동남권,
2006,5.동남권,
2007,5.동남권,
2008,5.동남권,
2009,5.동남권,
2010,5.동남권,
2011,5.동남권,
2012,5.동남권,
2013,5.동남권,2.223886054
2014,5.동남권,1.734700059
2015,5.동남권,1.777136525
2016,5.동남권,1.799365587
2017,5.동남권,1.810744702
2018,5.동남권,1.829164168
2019,5.동남권,1.852404699
2020,5.동남권,1.886570425
2021,5.동남권,
2001,6.강원권,
2002,6.강원권,
2003,6.강원권,
2004,6.강원권,
2005,6.강원권,
2006,6.강원권,
2007,6.강원권,
2008,6.강원권,
2009,6.강원권,
2010,6.강원권,
2011,6.강원권,
2012,6.강원권,
2013,6.강원권,2.3
2014,6.강원권,1.92
2015,6.강원권,1.92
2016,6.강원권,1.93
2017,6.강원권,1.96
2018,6.강원권,1.95
2019,6.강원권,1.95
2020,6.강원권,1.9
2021,6.강원권,
2001,7.제주권,
2002,7.제주권,
2003,7.제주권,
2004,7.제주권,
2005,7.제주권,
2006,7.제주권,
2007,7.제주권,
2008,7.제주권,
2009,7.제주권,
2010,7.제주권,
2011,7.제주권,
2012,7.제주권,
2013,7.제주권,5.13
2014,7.제주권,3.01
2015,7.제주권,2.98
2016,7.제주권,2.95
2017,7.제주권,2.91
2018,7.제주권,2.89
2019,7.제주권,2.88
2020,7.제주권,2.9
2021,7.제주권,
