Year,시도,시군구,Value
2013,0.전국,,1378858
2014,0.전국,,1345095
2015,0.전국,,1412310
2016,0.전국,,1657511
2017,0.전국,,1603814
2018,0.전국,,1614919
2019,0.전국,,1827886
2020,0.전국,,2026981
2021,0.전국,,2273983
2022,0.전국,,2410371
2013,1.수도권,,464013
2014,1.수도권,,466683
2015,1.수도권,,505904
2016,1.수도권,,633482
2017,1.수도권,,626057
2018,1.수도권,,639876
2019,1.수도권,,740125
2020,1.수도권,,836985
2021,1.수도권,,948942
2022,1.수도권,,1005042
2013,2.서울특별시,,201120
2014,2.서울특별시,,205193
2015,2.서울특별시,,219952
2016,2.서울특별시,,267731
2017,2.서울특별시,,264348
2018,2.서울특별시,,268146
2019,2.서울특별시,,305958
2020,2.서울특별시,,344900
2021,2.서울특별시,,390023
2022,2.서울특별시,,407980
2013,2.서울특별시,강남구,9284
2014,2.서울특별시,강남구,10319
2015,2.서울특별시,강남구,10415
2016,2.서울특별시,강남구,11599
2017,2.서울특별시,강남구,11391
2018,2.서울특별시,강남구,11127
2019,2.서울특별시,강남구,12305
2020,2.서울특별시,강남구,13830
2021,2.서울특별시,강남구,15340
2022,2.서울특별시,강남구,15958
2013,2.서울특별시,강동구,6822
2014,2.서울특별시,강동구,7199
2015,2.서울특별시,강동구,7742
2016,2.서울특별시,강동구,10001
2017,2.서울특별시,강동구,9808
2018,2.서울특별시,강동구,9747
2019,2.서울특별시,강동구,11168
2020,2.서울특별시,강동구,13159
2021,2.서울특별시,강동구,16008
2022,2.서울특별시,강동구,17086
2013,2.서울특별시,강북구,10829
2014,2.서울특별시,강북구,11431
2015,2.서울특별시,강북구,12186
2016,2.서울특별시,강북구,15244
2017,2.서울특별시,강북구,15035
2018,2.서울특별시,강북구,15246
2019,2.서울특별시,강북구,17058
2020,2.서울특별시,강북구,18745
2021,2.서울특별시,강북구,20987
2022,2.서울특별시,강북구,22466
2013,2.서울특별시,강서구,17559
2014,2.서울특별시,강서구,18042
2015,2.서울특별시,강서구,18425
2016,2.서울특별시,강서구,20848
2017,2.서울특별시,강서구,20853
2018,2.서울특별시,강서구,21002
2019,2.서울특별시,강서구,23346
2020,2.서울특별시,강서구,26069
2021,2.서울특별시,강서구,29697
2022,2.서울특별시,강서구,31319
2013,2.서울특별시,관악구,10681
2014,2.서울특별시,관악구,10815
2015,2.서울특별시,관악구,11055
2016,2.서울특별시,관악구,12911
2017,2.서울특별시,관악구,13073
2018,2.서울특별시,관악구,13457
2019,2.서울특별시,관악구,15464
2020,2.서울특별시,관악구,18359
2021,2.서울특별시,관악구,22088
2022,2.서울특별시,관악구,23169
2013,2.서울특별시,광진구,5038
2014,2.서울특별시,광진구,5296
2015,2.서울특별시,광진구,5809
2016,2.서울특별시,광진구,7625
2017,2.서울특별시,광진구,7464
2018,2.서울특별시,광진구,7795
2019,2.서울특별시,광진구,9315
2020,2.서울특별시,광진구,10969
2021,2.서울특별시,광진구,12769
2022,2.서울특별시,광진구,13333
2013,2.서울특별시,구로구,6083
2014,2.서울특별시,구로구,6191
2015,2.서울특별시,구로구,6672
2016,2.서울특별시,구로구,8620
2017,2.서울특별시,구로구,8526
2018,2.서울특별시,구로구,8419
2019,2.서울특별시,구로구,9699
2020,2.서울특별시,구로구,11427
2021,2.서울특별시,구로구,13169
2022,2.서울특별시,구로구,14311
2013,2.서울특별시,금천구,7819
2014,2.서울특별시,금천구,7715
2015,2.서울특별시,금천구,8222
2016,2.서울특별시,금천구,9670
2017,2.서울특별시,금천구,9525
2018,2.서울특별시,금천구,9402
2019,2.서울특별시,금천구,10195
2020,2.서울특별시,금천구,11108
2021,2.서울특별시,금천구,12312
2022,2.서울특별시,금천구,13028
2013,2.서울특별시,노원구,21415
2014,2.서울특별시,노원구,21472
2015,2.서울특별시,노원구,22321
2016,2.서울특별시,노원구,25047
2017,2.서울특별시,노원구,24483
2018,2.서울특별시,노원구,24496
2019,2.서울특별시,노원구,27128
2020,2.서울특별시,노원구,29641
2021,2.서울특별시,노원구,32038
2022,2.서울특별시,노원구,32438
2013,2.서울특별시,도봉구,5537
2014,2.서울특별시,도봉구,6051
2015,2.서울특별시,도봉구,6950
2016,2.서울특별시,도봉구,10161
2017,2.서울특별시,도봉구,10541
2018,2.서울특별시,도봉구,10816
2019,2.서울특별시,도봉구,11832
2020,2.서울특별시,도봉구,13089
2021,2.서울특별시,도봉구,14694
2022,2.서울특별시,도봉구,15868
2013,2.서울특별시,동대문구,8701
2014,2.서울특별시,동대문구,8988
2015,2.서울특별시,동대문구,9586
2016,2.서울특별시,동대문구,11649
2017,2.서울특별시,동대문구,11408
2018,2.서울특별시,동대문구,11503
2019,2.서울특별시,동대문구,12930
2020,2.서울특별시,동대문구,14162
2021,2.서울특별시,동대문구,15781
2022,2.서울특별시,동대문구,16292
2013,2.서울특별시,동작구,5847
2014,2.서울특별시,동작구,6068
2015,2.서울특별시,동작구,6386
2016,2.서울특별시,동작구,7898
2017,2.서울특별시,동작구,7882
2018,2.서울특별시,동작구,8201
2019,2.서울특별시,동작구,10191
2020,2.서울특별시,동작구,11555
2021,2.서울특별시,동작구,12997
2022,2.서울특별시,동작구,13322
2013,2.서울특별시,마포구,6404
2014,2.서울특별시,마포구,6412
2015,2.서울특별시,마포구,6817
2016,2.서울특별시,마포구,7805
2017,2.서울특별시,마포구,7538
2018,2.서울특별시,마포구,7648
2019,2.서울특별시,마포구,8626
2020,2.서울특별시,마포구,9674
2021,2.서울특별시,마포구,10586
2022,2.서울특별시,마포구,11123
2013,2.서울특별시,서대문구,5469
2014,2.서울특별시,서대문구,5779
2015,2.서울특별시,서대문구,6034
2016,2.서울특별시,서대문구,7421
2017,2.서울특별시,서대문구,7611
2018,2.서울특별시,서대문구,8010
2019,2.서울특별시,서대문구,9029
2020,2.서울특별시,서대문구,9830
2021,2.서울특별시,서대문구,11468
2022,2.서울특별시,서대문구,11919
2013,2.서울특별시,서초구,3122
2014,2.서울특별시,서초구,3532
2015,2.서울특별시,서초구,3933
2016,2.서울특별시,서초구,4859
2017,2.서울특별시,서초구,4851
2018,2.서울특별시,서초구,4993
2019,2.서울특별시,서초구,5844
2020,2.서울특별시,서초구,6362
2021,2.서울특별시,서초구,7166
2022,2.서울특별시,서초구,7604
2013,2.서울특별시,성동구,5628
2014,2.서울특별시,성동구,5624
2015,2.서울특별시,성동구,6045
2016,2.서울특별시,성동구,7319
2017,2.서울특별시,성동구,7039
2018,2.서울특별시,성동구,7164
2019,2.서울특별시,성동구,8246
2020,2.서울특별시,성동구,9199
2021,2.서울특별시,성동구,10082
2022,2.서울특별시,성동구,10246
2013,2.서울특별시,성북구,9418
2014,2.서울특별시,성북구,10348
2015,2.서울특별시,성북구,10853
2016,2.서울특별시,성북구,13033
2017,2.서울특별시,성북구,12600
2018,2.서울특별시,성북구,12408
2019,2.서울특별시,성북구,13451
2020,2.서울특별시,성북구,14717
2021,2.서울특별시,성북구,16168
2022,2.서울특별시,성북구,17065
2013,2.서울특별시,송파구,6284
2014,2.서울특별시,송파구,6377
2015,2.서울특별시,송파구,6984
2016,2.서울특별시,송파구,9451
2017,2.서울특별시,송파구,9549
2018,2.서울특별시,송파구,10117
2019,2.서울특별시,송파구,12969
2020,2.서울특별시,송파구,14927
2021,2.서울특별시,송파구,17148
2022,2.서울특별시,송파구,17935
2013,2.서울특별시,양천구,7007
2014,2.서울특별시,양천구,6881
2015,2.서울특별시,양천구,7890
2016,2.서울특별시,양천구,10770
2017,2.서울특별시,양천구,10479
2018,2.서울특별시,양천구,10819
2019,2.서울특별시,양천구,13132
2020,2.서울특별시,양천구,15055
2021,2.서울특별시,양천구,16920
2022,2.서울특별시,양천구,17616
2013,2.서울특별시,영등포구,8033
2014,2.서울특별시,영등포구,7460
2015,2.서울특별시,영등포구,7664
2016,2.서울특별시,영등포구,8344
2017,2.서울특별시,영등포구,7927
2018,2.서울특별시,영등포구,7971
2019,2.서울특별시,영등포구,8951
2020,2.서울특별시,영등포구,10242
2021,2.서울특별시,영등포구,11473
2022,2.서울특별시,영등포구,11940
2013,2.서울특별시,용산구,4596
2014,2.서울특별시,용산구,4766
2015,2.서울특별시,용산구,5106
2016,2.서울특별시,용산구,6063
2017,2.서울특별시,용산구,5908
2018,2.서울특별시,용산구,6081
2019,2.서울특별시,용산구,6805
2020,2.서울특별시,용산구,7650
2021,2.서울특별시,용산구,8685
2022,2.서울특별시,용산구,8988
2013,2.서울특별시,은평구,12516
2014,2.서울특별시,은평구,12943
2015,2.서울특별시,은평구,14107
2016,2.서울특별시,은평구,17869
2017,2.서울특별시,은평구,17425
2018,2.서울특별시,은평구,17642
2019,2.서울특별시,은평구,20329
2020,2.서울특별시,은평구,22565
2021,2.서울특별시,은평구,25030
2022,2.서울특별시,은평구,25658
2013,2.서울특별시,종로구,3827
2014,2.서울특별시,종로구,3759
2015,2.서울특별시,종로구,3864
2016,2.서울특별시,종로구,4299
2017,2.서울특별시,종로구,4311
2018,2.서울특별시,종로구,4318
2019,2.서울특별시,종로구,4671
2020,2.서울특별시,종로구,5069
2021,2.서울특별시,종로구,5475
2022,2.서울특별시,종로구,5611
2013,2.서울특별시,중구,3518
2014,2.서울특별시,중구,3287
2015,2.서울특별시,중구,3483
2016,2.서울특별시,중구,4013
2017,2.서울특별시,중구,3933
2018,2.서울특별시,중구,4033
2019,2.서울특별시,중구,4482
2020,2.서울특별시,중구,5001
2021,2.서울특별시,중구,5638
2022,2.서울특별시,중구,6035
2013,2.서울특별시,중랑구,9685
2014,2.서울특별시,중랑구,9932
2015,2.서울특별시,중랑구,11402
2016,2.서울특별시,중랑구,15212
2017,2.서울특별시,중랑구,15189
2018,2.서울특별시,중랑구,15734
2019,2.서울특별시,중랑구,18795
2020,2.서울특별시,중랑구,22497
2021,2.서울특별시,중랑구,26303
2022,2.서울특별시,중랑구,27652
2013,3.인천광역시,,71487
2014,3.인천광역시,,71635
2015,3.인천광역시,,79149
2016,3.인천광역시,,100741
2017,3.인천광역시,,99487
2018,3.인천광역시,,101418
2019,3.인천광역시,,117554
2020,3.인천광역시,,133763
2021,3.인천광역시,,152819
2022,3.인천광역시,,162903
2013,3.인천광역시,강화군,3101
2014,3.인천광역시,강화군,2900
2015,3.인천광역시,강화군,3038
2016,3.인천광역시,강화군,3303
2017,3.인천광역시,강화군,3119
2018,3.인천광역시,강화군,3100
2019,3.인천광역시,강화군,3499
2020,3.인천광역시,강화군,3924
2021,3.인천광역시,강화군,4313
2022,3.인천광역시,강화군,4467
2013,3.인천광역시,계양구,5418
2014,3.인천광역시,계양구,5697
2015,3.인천광역시,계양구,6537
2016,3.인천광역시,계양구,9462
2017,3.인천광역시,계양구,9674
2018,3.인천광역시,계양구,10057
2019,3.인천광역시,계양구,12176
2020,3.인천광역시,계양구,14004
2021,3.인천광역시,계양구,16236
2022,3.인천광역시,계양구,17307
2013,3.인천광역시,남동구,13487
2014,3.인천광역시,남동구,13857
2015,3.인천광역시,남동구,15327
2016,3.인천광역시,남동구,19270
2017,3.인천광역시,남동구,19327
2018,3.인천광역시,남동구,19862
2019,3.인천광역시,남동구,23211
2020,3.인천광역시,남동구,26534
2021,3.인천광역시,남동구,30601
2022,3.인천광역시,남동구,32710
2013,3.인천광역시,동구,2499
2014,3.인천광역시,동구,2330
2015,3.인천광역시,동구,2462
2016,3.인천광역시,동구,3051
2017,3.인천광역시,동구,2956
2018,3.인천광역시,동구,2891
2019,3.인천광역시,동구,3201
2020,3.인천광역시,동구,3462
2021,3.인천광역시,동구,3819
2022,3.인천광역시,동구,3796
2013,3.인천광역시,미추홀구,9738
2014,3.인천광역시,미추홀구,9959
2015,3.인천광역시,미추홀구,10840
2016,3.인천광역시,미추홀구,13338
2017,3.인천광역시,미추홀구,13805
2018,3.인천광역시,미추홀구,13668
2019,3.인천광역시,미추홀구,17938
2020,3.인천광역시,미추홀구,21107
2021,3.인천광역시,미추홀구,24511
2022,3.인천광역시,미추홀구,26514
2013,3.인천광역시,부평구,16803
2014,3.인천광역시,부평구,16786
2015,3.인천광역시,부평구,18558
2016,3.인천광역시,부평구,23706
2017,3.인천광역시,부평구,22986
2018,3.인천광역시,부평구,21996
2019,3.인천광역시,부평구,25174
2020,3.인천광역시,부평구,27693
2021,3.인천광역시,부평구,30449
2022,3.인천광역시,부평구,32139
2013,3.인천광역시,서구,8023
2014,3.인천광역시,서구,8375
2015,3.인천광역시,서구,9869
2016,3.인천광역시,서구,14207
2017,3.인천광역시,서구,13764
2018,3.인천광역시,서구,14767
2019,3.인천광역시,서구,16258
2020,3.인천광역시,서구,19077
2021,3.인천광역시,서구,22625
2022,3.인천광역시,서구,24705
2013,3.인천광역시,연수구,8278
2014,3.인천광역시,연수구,8013
2015,3.인천광역시,연수구,8385
2016,3.인천광역시,연수구,9666
2017,3.인천광역시,연수구,9248
2018,3.인천광역시,연수구,9515
2019,3.인천광역시,연수구,10392
2020,3.인천광역시,연수구,11468
2021,3.인천광역시,연수구,12704
2022,3.인천광역시,연수구,12868
2013,3.인천광역시,옹진군,526
2014,3.인천광역시,옹진군,497
2015,3.인천광역시,옹진군,504
2016,3.인천광역시,옹진군,565
2017,3.인천광역시,옹진군,554
2018,3.인천광역시,옹진군,571
2019,3.인천광역시,옹진군,619
2020,3.인천광역시,옹진군,648
2021,3.인천광역시,옹진군,682
2022,3.인천광역시,옹진군,712
2013,3.인천광역시,중구,3615
2014,3.인천광역시,중구,3699
2015,3.인천광역시,중구,3629
2016,3.인천광역시,중구,4175
2017,3.인천광역시,중구,4053
2018,3.인천광역시,중구,4220
2019,3.인천광역시,중구,5032
2020,3.인천광역시,중구,5845
2021,3.인천광역시,중구,6878
2022,3.인천광역시,중구,7684
2013,4.경기도,,191406
2014,4.경기도,,189855
2015,4.경기도,,206804
2016,4.경기도,,265010
2017,4.경기도,,262222
2018,4.경기도,,270312
2019,4.경기도,,316613
2020,4.경기도,,358322
2021,4.경기도,,406101
2022,4.경기도,,434159
2013,4.경기도,가평군,3471
2014,4.경기도,가평군,3364
2015,4.경기도,가평군,3434
2016,4.경기도,가평군,3681
2017,4.경기도,가평군,3534
2018,4.경기도,가평군,3446
2019,4.경기도,가평군,3625
2020,4.경기도,가평군,3723
2021,4.경기도,가평군,4008
2022,4.경기도,가평군,4242
2013,4.경기도,고양시,14233
2014,4.경기도,고양시,14423
2015,4.경기도,고양시,15695
2016,4.경기도,고양시,20604
2017,4.경기도,고양시,20814
2018,4.경기도,고양시,21365
2019,4.경기도,고양시,24743
2020,4.경기도,고양시,28188
2021,4.경기도,고양시,32040
2022,4.경기도,고양시,34309
2013,4.경기도,과천시,794
2014,4.경기도,과천시,800
2015,4.경기도,과천시,881
2016,4.경기도,과천시,967
2017,4.경기도,과천시,860
2018,4.경기도,과천시,860
2019,4.경기도,과천시,983
2020,4.경기도,과천시,1053
2021,4.경기도,과천시,1077
2022,4.경기도,과천시,1099
2013,4.경기도,광명시,4634
2014,4.경기도,광명시,4664
2015,4.경기도,광명시,5184
2016,4.경기도,광명시,7079
2017,4.경기도,광명시,6910
2018,4.경기도,광명시,6921
2019,4.경기도,광명시,8080
2020,4.경기도,광명시,8897
2021,4.경기도,광명시,9109
2022,4.경기도,광명시,9064
2013,4.경기도,광주시,4102
2014,4.경기도,광주시,3980
2015,4.경기도,광주시,4184
2016,4.경기도,광주시,5128
2017,4.경기도,광주시,5108
2018,4.경기도,광주시,5322
2019,4.경기도,광주시,6371
2020,4.경기도,광주시,7429
2021,4.경기도,광주시,8413
2022,4.경기도,광주시,9220
2013,4.경기도,구리시,3484
2014,4.경기도,구리시,3488
2015,4.경기도,구리시,3880
2016,4.경기도,구리시,5084
2017,4.경기도,구리시,5191
2018,4.경기도,구리시,5433
2019,4.경기도,구리시,6411
2020,4.경기도,구리시,7035
2021,4.경기도,구리시,7531
2022,4.경기도,구리시,7699
2013,4.경기도,군포시,3963
2014,4.경기도,군포시,3928
2015,4.경기도,군포시,4394
2016,4.경기도,군포시,5701
2017,4.경기도,군포시,5525
2018,4.경기도,군포시,5722
2019,4.경기도,군포시,6803
2020,4.경기도,군포시,8054
2021,4.경기도,군포시,9419
2022,4.경기도,군포시,9999
2013,4.경기도,김포시,4932
2014,4.경기도,김포시,5125
2015,4.경기도,김포시,5339
2016,4.경기도,김포시,6728
2017,4.경기도,김포시,6671
2018,4.경기도,김포시,6881
2019,4.경기도,김포시,8669
2020,4.경기도,김포시,10401
2021,4.경기도,김포시,12005
2022,4.경기도,김포시,13240
2013,4.경기도,남양주시,8294
2014,4.경기도,남양주시,8633
2015,4.경기도,남양주시,9939
2016,4.경기도,남양주시,13139
2017,4.경기도,남양주시,13636
2018,4.경기도,남양주시,14580
2019,4.경기도,남양주시,17129
2020,4.경기도,남양주시,19586
2021,4.경기도,남양주시,22324
2022,4.경기도,남양주시,24257
2013,4.경기도,동두천시,3490
2014,4.경기도,동두천시,3556
2015,4.경기도,동두천시,3929
2016,4.경기도,동두천시,5077
2017,4.경기도,동두천시,4974
2018,4.경기도,동두천시,4977
2019,4.경기도,동두천시,5853
2020,4.경기도,동두천시,6780
2021,4.경기도,동두천시,7688
2022,4.경기도,동두천시,8172
2013,4.경기도,부천시,13072
2014,4.경기도,부천시,13034
2015,4.경기도,부천시,14155
2016,4.경기도,부천시,17866
2017,4.경기도,부천시,17636
2018,4.경기도,부천시,17930
2019,4.경기도,부천시,20464
2020,4.경기도,부천시,22935
2021,4.경기도,부천시,26012
2022,4.경기도,부천시,27716
2013,4.경기도,성남시,15557
2014,4.경기도,성남시,15377
2015,4.경기도,성남시,16776
2016,4.경기도,성남시,21562
2017,4.경기도,성남시,21040
2018,4.경기도,성남시,21596
2019,4.경기도,성남시,25340
2020,4.경기도,성남시,28158
2021,4.경기도,성남시,30802
2022,4.경기도,성남시,31577
2013,4.경기도,수원시,14121
2014,4.경기도,수원시,13903
2015,4.경기도,수원시,14781
2016,4.경기도,수원시,18661
2017,4.경기도,수원시,18206
2018,4.경기도,수원시,18721
2019,4.경기도,수원시,21542
2020,4.경기도,수원시,23172
2021,4.경기도,수원시,25801
2022,4.경기도,수원시,27605
2013,4.경기도,시흥시,5851
2014,4.경기도,시흥시,5964
2015,4.경기도,시흥시,6595
2016,4.경기도,시흥시,8645
2017,4.경기도,시흥시,8652
2018,4.경기도,시흥시,8929
2019,4.경기도,시흥시,10519
2020,4.경기도,시흥시,12512
2021,4.경기도,시흥시,15146
2022,4.경기도,시흥시,16768
2013,4.경기도,안산시,14762
2014,4.경기도,안산시,14509
2015,4.경기도,안산시,16041
2016,4.경기도,안산시,21494
2017,4.경기도,안산시,20819
2018,4.경기도,안산시,21033
2019,4.경기도,안산시,23473
2020,4.경기도,안산시,25678
2021,4.경기도,안산시,28766
2022,4.경기도,안산시,30596
2013,4.경기도,안성시,4847
2014,4.경기도,안성시,4740
2015,4.경기도,안성시,4902
2016,4.경기도,안성시,5665
2017,4.경기도,안성시,5492
2018,4.경기도,안성시,5498
2019,4.경기도,안성시,5728
2020,4.경기도,안성시,5957
2021,4.경기도,안성시,6447
2022,4.경기도,안성시,6854
2013,4.경기도,안양시,7629
2014,4.경기도,안양시,7426
2015,4.경기도,안양시,8142
2016,4.경기도,안양시,10042
2017,4.경기도,안양시,9471
2018,4.경기도,안양시,9433
2019,4.경기도,안양시,10932
2020,4.경기도,안양시,12072
2021,4.경기도,안양시,13363
2022,4.경기도,안양시,14099
2013,4.경기도,양주시,4254
2014,4.경기도,양주시,4121
2015,4.경기도,양주시,4461
2016,4.경기도,양주시,5856
2017,4.경기도,양주시,5996
2018,4.경기도,양주시,6627
2019,4.경기도,양주시,8142
2020,4.경기도,양주시,9827
2021,4.경기도,양주시,11514
2022,4.경기도,양주시,12270
2013,4.경기도,양평군,2830
2014,4.경기도,양평군,2780
2015,4.경기도,양평군,2975
2016,4.경기도,양평군,3543
