Year,시도,Value
2014,0.전국,98.3
2015,0.전국,98.3
2016,0.전국,98.3
2017,0.전국,98.1
2018,0.전국,95.9
2019,0.전국,95.7
2020,0.전국,89.8
2014,1.수도권,93.3
2015,1.수도권,92.2
2016,1.수도권,91.9
2017,1.수도권,90.4
2018,1.수도권,90.1
2019,1.수도권,86.4
2020,1.수도권,77
2014,2.서울특별시,95.9
2015,2.서울특별시,89
2016,2.서울특별시,88
2017,2.서울특별시,80.1
2018,2.서울특별시,82.4
2019,2.서울특별시,83.4
2020,2.서울특별시,76
2014,3.인천광역시,98.4
2015,3.인천광역시,97.1
2016,3.인천광역시,94.9
2017,3.인천광역시,93.5
2018,3.인천광역시,89.4
2019,3.인천광역시,75.1
2020,3.인천광역시,58.4
2014,4.경기도,91.2
2015,4.경기도,90.9
2016,4.경기도,91.8
2017,4.경기도,91.9
2018,4.경기도,91.9
2019,4.경기도,90.2
2020,4.경기도,83.1
