Year,지역,Value
2001,한국, 4.07 
2002,한국, 2.76 
2003,한국, 3.51 
2004,한국, 3.59 
2005,한국, 2.75 
2006,한국, 2.24 
2007,한국, 2.53 
2008,한국, 4.67 
2009,한국, 2.76 
2010,한국, 2.94 
2011,한국, 4.03 
2012,한국, 2.19 
2013,한국, 1.30 
2014,한국, 1.27 
2015,한국, 0.71 
2016,한국, 0.97 
2017,한국, 1.94 
2018,한국, 1.48 
2019,한국, 0.38 
2020,한국, 0.54 
2021,한국, 2.50 
2001,서울, 4.34 
2002,서울, 3.30 
2003,서울, 3.81 
2004,서울, 3.89 
2005,서울, 2.62 
2006,서울, 2.07 
2007,서울, 2.62 
2008,서울, 4.16 
2009,서울, 2.95 
2010,서울, 2.81 
2011,서울, 3.82 
2012,서울, 2.48 
2013,서울, 1.39 
2014,서울, 1.56 
2015,서울, 1.25 
2016,서울, 1.18 
2017,서울, 2.00 
2018,서울, 1.34 
2019,서울, 0.59 
2001,경기, 4.36 
2002,경기, 2.58 
2003,경기, 3.21 
2004,경기, 3.48 
2005,경기, 2.54 
2006,경기, 2.39 
2007,경기, 2.33 
2008,경기, 4.92 
2009,경기, 2.67 
2010,경기, 3.17 
2011,경기, 3.42 
2012,경기, 1.98 
2013,경기, 1.08 
2014,경기, 1.40 
2015,경기, 0.99 
2016,경기, 0.85 
2017,경기, 1.90 
2018,경기, 1.62 
2019,경기, 0.27 
2001,인천, 4.16 
2002,인천, 3.13 
2003,인천, 3.39 
2004,인천, 3.45 
2005,인천, 2.77 
2006,인천, 2.44 
2007,인천, 2.51 
2008,인천, 4.82 
2009,인천, 2.90 
2010,인천, 2.86 
2011,인천, 3.84 
2012,인천, 2.11 
2013,인천, 1.22 
2014,인천, 1.24 
2015,인천, 0.74 
2016,인천, 0.94 
2017,인천, 2.01 
2018,인천, 1.49 
2019,인천, 0.40 
2001,일본,-0.70 
2002,일본,-0.90 
2003,일본,-0.30 
2004,일본, - 
2005,일본,-0.30 
2006,일본, 0.30 
2007,일본, - 
2008,일본, 1.40 
2009,일본,-1.40 
2010,일본,-0.70 
2011,일본,-0.30 
2012,일본, - 
2013,일본, 0.40 
2014,일본, 2.70 
2015,일본, 0.80 
2016,일본,-0.10 
2017,일본, 0.48 
2018,일본, 0.99 
2019,일본, 0.47 
2020,일본,-0.02 
2021,일본,-0.23 
2001,미국, 2.83 
2002,미국, 1.59 
2003,미국, 2.27 
2004,미국, 2.68 
2005,미국, 3.39 
2006,미국, 3.23 
2007,미국, 2.85 
2008,미국, 3.84 
2009,미국,-0.36 
2010,미국, 1.64 
2011,미국, 3.16 
2012,미국, 2.07 
2013,미국, 1.46 
2014,미국, 1.62 
2015,미국, 0.12 
2016,미국, 1.26 
2017,미국, 2.13 
2018,미국, 2.44 
2019,미국, 1.81 
2020,미국, 1.23 
2021,미국, 4.70 
2001,캐나다, 2.53 
2002,캐나다, 2.26 
2003,캐나다, 2.76 
2004,캐나다, 1.86 
2005,캐나다, 2.21 
2006,캐나다, 2.00 
2007,캐나다, 2.14 
2008,캐나다, 2.37 
2009,캐나다, 0.30 
2010,캐나다, 1.78 
2011,캐나다, 2.91 
2012,캐나다, 1.52 
2013,캐나다, 0.94 
2014,캐나다, 1.91 
2015,캐나다, 1.13 
2016,캐나다, 1.43 
2017,캐나다, 1.60 
2018,캐나다, 2.27 
2019,캐나다, 1.95 
2020,캐나다, 0.72 
2021,캐나다, 3.40 
2001,호주, 4.41 
2002,호주, 2.98 
2003,호주, 2.73 
2004,호주, 2.34 
2005,호주, 2.69 
2006,호주, 3.56 
2007,호주, 2.33 
2008,호주, 4.35 
2009,호주, 1.77 
2010,호주, 2.92 
2011,호주, 3.30 
2012,호주, 1.76 
2013,호주, 2.45 
2014,호주, 2.49 
2015,호주, 1.51 
2016,호주, 1.28 
2017,호주, 1.95 
2018,호주, 1.91 
2019,호주, 1.61 
2020,호주, 0.85 
2021,호주, 2.86 
2001,파리(*프랑스), 2.58 
2002,파리(*프랑스), 1.57 
2003,파리(*프랑스), 0.88 
2004,파리(*프랑스), 0.19 
2005,파리(*프랑스), 0.62 
2006,파리(*프랑스), 1.57 
2007,파리(*프랑스), 2.51 
2008,파리(*프랑스), 4.07 
2009,파리(*프랑스),-0.00 
2010,파리(*프랑스), 1.18 
2011,파리(*프랑스), 3.42 
2012,파리(*프랑스), 2.81 
2013,파리(*프랑스), 1.48 
2014,파리(*프랑스), 1.04 
2015,파리(*프랑스),-0.21 
2016,파리(*프랑스), 0.36 
2017,파리(*프랑스), 0.75 
2018,파리(*프랑스), 1.08 
2019,파리(*프랑스), 1.02 
2020,파리(*프랑스), 0.29 
2021,파리(*프랑스), 2.19 
2001,베를린(*독일), 1.98 
2002,베를린(*독일), 1.42 
2003,베를린(*독일), 1.03 
2004,베를린(*독일), 1.67 
2005,베를린(*독일), 1.55 
2006,베를린(*독일), 1.58 
2007,베를린(*독일), 2.30 
2008,베를린(*독일), 2.63 
2009,베를린(*독일), 0.31 
2010,베를린(*독일), 1.10 
2011,베를린(*독일), 2.08 
2012,베를린(*독일), 2.01 
2013,베를린(*독일), 1.50 
2014,베를린(*독일), 0.91 
2015,베를린(*독일), 0.51 
2016,베를린(*독일), 0.49 
2017,베를린(*독일), 1.51 
2018,베를린(*독일), 1.73 
2019,베를린(*독일), 1.45 
2020,베를린(*독일), 0.51 
2021,베를린(*독일), 3.14 
2001,런던(*영국), 1.60 
2002,런던(*영국), 1.50 
2003,런던(*영국), 1.40 
2004,런던(*영국), 1.40 
2005,런던(*영국), 2.10 
2006,런던(*영국), 2.50 
2007,런던(*영국), 2.40 
2008,런던(*영국), 3.50 
2009,런던(*영국), 2.00 
2010,런던(*영국), 2.50 
2011,런던(*영국), 3.80 
2012,런던(*영국), 2.60 
2013,런던(*영국), 2.30 
2014,런던(*영국), 1.50 
2015,런던(*영국), 0.40 
2016,런던(*영국), 1.00 
2017,런던(*영국), 2.60 
2018,런던(*영국), 2.30 
2019,런던(*영국), 1.70 
2020,런던(*영국), 1.00 
2021,런던(*영국), 2.50 
2001,스톡홀롬(*스웨덴), 2.41 
2002,스톡홀롬(*스웨덴), 2.16 
2003,스톡홀롬(*스웨덴), 1.93 
2004,스톡홀롬(*스웨덴), 0.37 
2005,스톡홀롬(*스웨덴), 0.45 
2006,스톡홀롬(*스웨덴), 1.36 
2007,스톡홀롬(*스웨덴), 2.21 
2008,스톡홀롬(*스웨덴), 3.44 
2009,스톡홀롬(*스웨덴),-0.49 
2010,스톡홀롬(*스웨덴), 1.16 
2011,스톡홀롬(*스웨덴), 2.96 
2012,스톡홀롬(*스웨덴), 0.89 
2013,스톡홀롬(*스웨덴),-0.04 
2014,스톡홀롬(*스웨덴),-0.18 
2015,스톡홀롬(*스웨덴),-0.05 
2016,스톡홀롬(*스웨덴), 0.98 
2017,스톡홀롬(*스웨덴), 1.79 
2018,스톡홀롬(*스웨덴), 1.95 
2019,스톡홀롬(*스웨덴), 1.78 
2020,스톡홀롬(*스웨덴), 0.50 
2021,스톡홀롬(*스웨덴), 2.16 
