Year,시도,Value
2001,0.전국,25.5
2002,0.전국,26.6
2003,0.전국,30.2
2004,0.전국,31.1
2005,0.전국,32.4
2006,0.전국,33.8
2007,0.전국,35.3
2008,0.전국,36.8
2009,0.전국,38.2
2010,0.전국,38.9
2011,0.전국,39.9
2012,0.전국,41.1
2013,0.전국,42.2
2014,0.전국,43.0
2015,0.전국,43.7
2016,0.전국,44.7
2017,0.전국,45.6
2018,0.전국,46.6
2019,0.전국,47.3
2020,0.전국,47.8
2021,0.전국,48.5
2022,0.전국,49.2
2001,1.수도권,29.6
2002,1.수도권,30.5
2003,1.수도권,34.7
2004,1.수도권,35.2
2005,1.수도권,36.1
2006,1.수도권,37.6
2007,1.수도권,39.4
2008,1.수도권,41.0
2009,1.수도권,42.9
2010,1.수도권,43.5
2011,1.수도권,44.7
2012,1.수도권,46.0
2013,1.수도권,46.8
2014,1.수도권,47.1
2015,1.수도권,47.9
2016,1.수도권,48.8
2017,1.수도권,49.3
2018,1.수도권,50.6
2019,1.수도권,51.4
2020,1.수도권,52.3
2021,1.수도권,52.8
2022,1.수도권,53.4
2001,2.서울특별시,33.3
2002,2.서울특별시,34.0
2003,2.서울특별시,39.5
2004,2.서울특별시,39.6
2005,2.서울특별시,40.3
2006,2.서울특별시,42.1
2007,2.서울특별시,43.4
2008,2.서울특별시,44.7
2009,2.서울특별시,47.3
2010,2.서울특별시,46.4
2011,2.서울특별시,47.7
2012,2.서울특별시,49.2
2013,2.서울특별시,51.8
2014,2.서울특별시,53.0
2015,2.서울특별시,53.1
2016,2.서울특별시,54.0
2017,2.서울특별시,55.1
2018,2.서울특별시,56.8
2019,2.서울특별시,58.0
2020,2.서울특별시,59.3
2021,2.서울특별시,59.9
2022,2.서울특별시,60.8
2001,3.인천광역시,20.6
2002,3.인천광역시,22.3
2003,3.인천광역시,25.6
2004,3.인천광역시,26.7
2005,3.인천광역시,28.1
2006,3.인천광역시,30.3
2007,3.인천광역시,31.4
2008,3.인천광역시,33.1
2009,3.인천광역시,34.2
2010,3.인천광역시,34.5
2011,3.인천광역시,34.8
2012,3.인천광역시,36.1
2013,3.인천광역시,36.5
2014,3.인천광역시,35.9
2015,3.인천광역시,38.1
2016,3.인천광역시,38.5
2017,3.인천광역시,40.3
2018,3.인천광역시,41.5
2019,3.인천광역시,43.3
2020,3.인천광역시,42.1
2021,3.인천광역시,41.2
2022,3.인천광역시,41.8
2001,4.경기도,27.7
2002,4.경기도,28.8
2003,4.경기도,32.1
2004,4.경기도,32.8
2005,4.경기도,33.9
2006,4.경기도,35.0
2007,4.경기도,37.5
2008,4.경기도,39.4
2009,4.경기도,40.9
2010,4.경기도,43.0
2011,4.경기도,44.5
2012,4.경기도,45.6
2013,4.경기도,44.9
2014,4.경기도,44.8
2015,4.경기도,45.9
2016,4.경기도,47.1
2017,4.경기도,46.9
2018,4.경기도,48.1
2019,4.경기도,48.5
2020,4.경기도,49.5
2021,4.경기도,50.3
2022,4.경기도,50.8
