Year,구분,A. 시도,B. 시군구,Value
2003,주택-전세,0.전국,,59.6
2004,주택-전세,0.전국,,56.1
2005,주택-전세,0.전국,,57.8
2006,주택-전세,0.전국,,61.7
2007,주택-전세,0.전국,,64.1
2008,주택-전세,0.전국,,66.1
2009,주택-전세,0.전국,,68.3
2010,주택-전세,0.전국,,72.8
2011,주택-전세,0.전국,,81.3
2012,주택-전세,0.전국,,82.5
2013,주택-전세,0.전국,,86.4
2014,주택-전세,0.전국,,89.3
2015,주택-전세,0.전국,,93.7
2016,주택-전세,0.전국,,94.9
2017,주택-전세,0.전국,,95.5
2018,주택-전세,0.전국,,93.8
2019,주택-전세,0.전국,,92.6
2020,주택-전세,0.전국,,96.9
2021,주택-전세,0.전국,,103.2
2003,주택-전세,1.수도권,,53.4
2004,주택-전세,1.수도권,,49.2
2005,주택-전세,1.수도권,,51.2
2006,주택-전세,1.수도권,,56.5
2007,주택-전세,1.수도권,,59.7
2008,주택-전세,1.수도권,,61.9
2009,주택-전세,1.수도권,,64.4
2010,주택-전세,1.수도권,,68.3
2011,주택-전세,1.수도권,,75.6
2012,주택-전세,1.수도권,,75.9
2013,주택-전세,1.수도권,,80.6
2014,주택-전세,1.수도권,,84.4
2015,주택-전세,1.수도권,,90.5
2016,주택-전세,1.수도권,,92.3
2017,주택-전세,1.수도권,,93.6
2018,주택-전세,1.수도권,,92.2
2019,주택-전세,1.수도권,,91.5
2020,주택-전세,1.수도권,,96.6
2021,주택-전세,1.수도권,,104
2003,주택-전세,2.서울특별시,,54.7
2004,주택-전세,2.서울특별시,,50.5
2005,주택-전세,2.서울특별시,,51.5
2006,주택-전세,2.서울특별시,,56.8
2007,주택-전세,2.서울특별시,,60
2008,주택-전세,2.서울특별시,,61.8
2009,주택-전세,2.서울특별시,,65.3
2010,주택-전세,2.서울특별시,,69.4
2011,주택-전세,2.서울특별시,,76.5
2012,주택-전세,2.서울특별시,,76.9
2013,주택-전세,2.서울특별시,,81.9
2014,주택-전세,2.서울특별시,,84.8
2015,주택-전세,2.서울특별시,,91
2016,주택-전세,2.서울특별시,,92.8
2017,주택-전세,2.서울특별시,,94.7
2018,주택-전세,2.서울특별시,,94.9
2019,주택-전세,2.서울특별시,,94.5
2020,주택-전세,2.서울특별시,,97.9
2021,주택-전세,2.서울특별시,,102.7
2003,주택-전세,2.서울특별시,강남구,56.2
2004,주택-전세,2.서울특별시,강남구,51.3
2005,주택-전세,2.서울특별시,강남구,55.5
2006,주택-전세,2.서울특별시,강남구,61.8
2007,주택-전세,2.서울특별시,강남구,62.6
2008,주택-전세,2.서울특별시,강남구,60.7
2009,주택-전세,2.서울특별시,강남구,64.2
2010,주택-전세,2.서울특별시,강남구,70.5
2011,주택-전세,2.서울특별시,강남구,77.5
2012,주택-전세,2.서울특별시,강남구,74.8
2013,주택-전세,2.서울특별시,강남구,80.7
2014,주택-전세,2.서울특별시,강남구,82.9
2015,주택-전세,2.서울특별시,강남구,91.2
2016,주택-전세,2.서울특별시,강남구,92
2017,주택-전세,2.서울특별시,강남구,94.5
2018,주택-전세,2.서울특별시,강남구,93
2019,주택-전세,2.서울특별시,강남구,91.4
2020,주택-전세,2.서울특별시,강남구,97.8
2021,주택-전세,2.서울특별시,강남구,103.4
2003,주택-전세,2.서울특별시,강동구,59
2004,주택-전세,2.서울특별시,강동구,54.8
2005,주택-전세,2.서울특별시,강동구,56.4
2006,주택-전세,2.서울특별시,강동구,61
2007,주택-전세,2.서울특별시,강동구,61.5
2008,주택-전세,2.서울특별시,강동구,57.3
2009,주택-전세,2.서울특별시,강동구,62.6
2010,주택-전세,2.서울특별시,강동구,68.1
2011,주택-전세,2.서울특별시,강동구,76.1
2012,주택-전세,2.서울특별시,강동구,79.6
2013,주택-전세,2.서울특별시,강동구,81.8
2014,주택-전세,2.서울특별시,강동구,84.6
2015,주택-전세,2.서울특별시,강동구,94.8
2016,주택-전세,2.서울특별시,강동구,94.3
2017,주택-전세,2.서울특별시,강동구,98.1
2018,주택-전세,2.서울특별시,강동구,97
2019,주택-전세,2.서울특별시,강동구,92.7
2020,주택-전세,2.서울특별시,강동구,97.6
2021,주택-전세,2.서울특별시,강동구,103.6
2003,주택-전세,2.서울특별시,강북구,59.3
2004,주택-전세,2.서울특별시,강북구,53.6
2005,주택-전세,2.서울특별시,강북구,53.2
2006,주택-전세,2.서울특별시,강북구,54.4
2007,주택-전세,2.서울특별시,강북구,61.1
2008,주택-전세,2.서울특별시,강북구,67.8
2009,주택-전세,2.서울특별시,강북구,71.1
2010,주택-전세,2.서울특별시,강북구,74.2
2011,주택-전세,2.서울특별시,강북구,80.1
2012,주택-전세,2.서울특별시,강북구,81.1
2013,주택-전세,2.서울특별시,강북구,86.8
2014,주택-전세,2.서울특별시,강북구,89.3
2015,주택-전세,2.서울특별시,강북구,93.9
2016,주택-전세,2.서울특별시,강북구,95
2017,주택-전세,2.서울특별시,강북구,95.3
2018,주택-전세,2.서울특별시,강북구,95.9
2019,주택-전세,2.서울특별시,강북구,94.9
2020,주택-전세,2.서울특별시,강북구,97.8
2021,주택-전세,2.서울특별시,강북구,102
2003,주택-전세,2.서울특별시,강서구,52.9
2004,주택-전세,2.서울특별시,강서구,46.7
2005,주택-전세,2.서울특별시,강서구,45.8
2006,주택-전세,2.서울특별시,강서구,52.1
2007,주택-전세,2.서울특별시,강서구,54.6
2008,주택-전세,2.서울특별시,강서구,58
2009,주택-전세,2.서울특별시,강서구,64.5
2010,주택-전세,2.서울특별시,강서구,69.5
2011,주택-전세,2.서울특별시,강서구,76.4
2012,주택-전세,2.서울특별시,강서구,76.2
2013,주택-전세,2.서울특별시,강서구,81.3
2014,주택-전세,2.서울특별시,강서구,84.4
2015,주택-전세,2.서울특별시,강서구,90.6
2016,주택-전세,2.서울특별시,강서구,92.9
2017,주택-전세,2.서울특별시,강서구,94.8
2018,주택-전세,2.서울특별시,강서구,95.6
2019,주택-전세,2.서울특별시,강서구,95.9
2020,주택-전세,2.서울특별시,강서구,98.6
2021,주택-전세,2.서울특별시,강서구,101.9
2003,주택-전세,2.서울특별시,관악구,54.4
2004,주택-전세,2.서울특별시,관악구,51.6
2005,주택-전세,2.서울특별시,관악구,51.6
2006,주택-전세,2.서울특별시,관악구,56.9
2007,주택-전세,2.서울특별시,관악구,62.2
2008,주택-전세,2.서울특별시,관악구,63.2
2009,주택-전세,2.서울특별시,관악구,68.2
2010,주택-전세,2.서울특별시,관악구,70.4
2011,주택-전세,2.서울특별시,관악구,78.1
2012,주택-전세,2.서울특별시,관악구,79.4
2013,주택-전세,2.서울특별시,관악구,83.4
2014,주택-전세,2.서울특별시,관악구,85
2015,주택-전세,2.서울특별시,관악구,89.3
2016,주택-전세,2.서울특별시,관악구,92.2
2017,주택-전세,2.서울특별시,관악구,95.2
