Indicator,Disaggregation combinations using this value
#5-1-1,33
#5-1-2,33
#5-1-3,33
#5-2-1,1
#5-2-2,32
#5-2-3,49
#5-2-4,1
#5-2-5,32
#5-2-6,49
#5-2-7,1
#5-3-1,1
#5-3-2,33
#5-3-3,1
#5-3-4,1
#5-4-1,56
#5-4-2,33
#5-4-3,33
#5-4-4,1
#5-4-5,32
#5-4-6,49
#5-4-7,36
#6-1-1,1
#6-1-2,1
#6-1-3,1
#6-2-1,1
#6-2-2,1
#6-2-3,1
#6-2-4,2
#6-3-1,1
#6-3-2,1
#6-3-3,1
#7-1-1,1
#7-1-2,32
#7-1-3,1
#7-1-4,1
#8-1-1,1
#9-1-1,32
#9-1-2,35
#9-1-3,33
#9-1-4,49
#9-1-5,32
#9-1-6,32
#9-1-7,32
#9-2-1,1
#9-2-2,32
#9-2-3,1
#9-2-4,1
#9-2-6,1
#9-3-1,1
#9-3-2,1
#9-3-3,1
#9-3-4,1
#9-3-5,1
#9-3-6,1
#9-4-1,1
