Year,지역,Value
2001,수도권, 66.6 
2002,수도권, 79.9 
2003,수도권, 101.7 
2004,수도권, 122.4 
2005,수도권, 152.0 
2006,수도권, 175.7 
2007,수도권, 198.4 
2008,수도권, 203.4 
2009,수도권, 251.3 
2010,수도권, 268.4 
2011,수도권, 307.1 
2012,수도권, 311.4 
2013,수도권, 334.0 
2014,수도권, 375.8 
2015,수도권, 406.4 
2001,서울, 81.6 
2002,서울, 90.5 
2003,서울, 109.3 
2004,서울, 137.8 
2005,서울, 170.7 
2006,서울, 193.3 
2007,서울, 217.7 
2008,서울, 211.9 
2009,서울, 253.4 
2010,서울, 289.7 
2011,서울, 335.9 
2012,서울, 330.4 
2013,서울, 410.4 
2014,서울, 474.6 
2015,서울, 549.0 
2001,인천, 31.4 
2002,인천, 34.6 
2003,인천, 40.5 
2004,인천, 46.1 
2005,인천, 68.7 
2006,인천, 83.2 
2007,인천, 81.0 
2008,인천, 81.8 
2009,인천, 103.4 
2010,인천, 130.7 
2011,인천, 130.7 
2012,인천, 135.2 
2013,인천, 131.1 
2014,인천, 156.9 
2015,인천, 172.2 
2001,경기, 60.0 
2002,경기, 81.0 
2003,경기, 109.8 
2004,경기, 126.4 
2005,경기, 154.6 
2006,경기, 181.6 
2007,경기, 208.9 
2008,경기, 224.8 
2009,경기, 284.4 
2010,경기, 282.1 
2011,경기, 323.7 
2012,경기, 336.5 
2013,경기, 318.4 
2014,경기, 346.6 
2015,경기, 346.7 
2001,도쿄, 282.1 
2002,도쿄, 342.6 
2003,도쿄, 427.5 
2004,도쿄, 526.6 
2005,도쿄, 552.9 
2006,도쿄, 586.1 
2007,도쿄, 674.4 
2008,도쿄, 689.6 
2009,도쿄, 746.9 
2010,도쿄, 815.1 
2011,도쿄, 908.4 
2012,도쿄," 1,073.8 "
2013,도쿄," 1,078.9 "
2014,도쿄," 1,200.3 "
2015,도쿄," 1,262.0 "
2001,오사카, 164.1 
2002,오사카, 191.8 
2003,오사카, 242.2 
2004,오사카, 317.1 
2005,오사카, 305.1 
2006,오사카, 295.2 
2007,오사카, 469.7 
2008,오사카, 563.4 
2009,오사카, 588.1 
2010,오사카, 432.6 
2011,오사카, 453.2 
2012,오사카, 373.9 
2013,오사카, 352.7 
2014,오사카, 375.5 
2015,오사카, 276.1 
2001,뉴욕, 112.7 
2002,뉴욕, 121.1 
2003,뉴욕, 143.1 
2004,뉴욕, 154.7 
2005,뉴욕, 160.6 
2006,뉴욕, 161.0 
2007,뉴욕, 156.5 
2008,뉴욕, 133.4 
2009,뉴욕, 133.0 
2010,뉴욕, 136.6 
2011,뉴욕, 136.8 
2012,뉴욕, 140.1 
2013,뉴욕, 143.9 
2014,뉴욕, 129.4 
2015,뉴욕, 127.5 
2001,토론토, 108.4 
2002,토론토, 99.6 
2003,토론토, 90.3 
2004,토론토, 90.4 
2005,토론토, 106.2 
2006,토론토, 117.9 
2007,토론토, 116.9 
2008,토론토, 94.2 
2009,토론토, 80.4 
2010,토론토, 103.8 
2011,토론토, 100.6 
2012,토론토, 103.0 
2013,토론토, 121.8 
2014,토론토, 114.5 
2015,토론토, 107.9 
2001,시드니, 131.0 
2002,시드니, 127.7 
2003,시드니, 137.5 
2004,시드니, 144.0 
2005,시드니, 147.7 
2006,시드니, 146.8 
2007,시드니, 149.2 
2008,시드니, 131.3 
2009,시드니, 118.4 
2010,시드니, 108.8 
2011,시드니, 109.6 
2012,시드니, 113.0 
2013,시드니, 114.1 
2014,시드니, 125.3 
2015,시드니, 124.5 
2001,파리, 254.3 
2002,파리, 288.1 
2003,파리, 292.1 
2004,파리, 327.8 
2005,파리, 295.4 
2006,파리, 280.0 
2007,파리, 283.7 
2008,파리, 314.7 
2009,파리, 330.8 
2010,파리, 307.7 
2011,파리, 327.5 
2012,파리, 285.3 
2013,파리, 282.1 
2014,파리, 272.9 
2015,파리, 288.8 
2001,베를린, 140.6 
2002,베를린, 131.8 
2003,베를린, 138.6 
2004,베를린, 141.5 
2005,베를린, 167.5 
2006,베를린, 184.3 
2007,베를린, 198.3 
2008,베를린, 175.4 
2009,베를린, 179.1 
2010,베를린, 176.3 
2011,베를린, 190.6 
2012,베를린, 183.4 
2013,베를린, 180.8 
2014,베를린, 160.7 
2015,베를린, 174.8 
2001,런던, 87.3 
2002,런던, 74.6 
2003,런던, 80.3 
2004,런던, 76.4 
2005,런던, 82.7 
2006,런던, 87.5 
2007,런던, 90.5 
2008,런던, 77.0 
2009,런던, 75.3 
2010,런던, 80.0 
2011,런던, 84.2 
2012,런던, 87.2 
2013,런던, 97.0 
2014,런던, 103.7 
2015,런던, 98.2 
2001,스톡홀롬, 432.3 
2002,스톡홀롬, 367.3 
2003,스톡홀롬, 330.4 
2004,스톡홀롬, 361.0 
2005,스톡홀롬, 391.2 
2006,스톡홀롬, 469.4 
2007,스톡홀롬, 573.1 
2008,스톡홀롬, 572.6 
2009,스톡홀롬, 491.7 
2010,스톡홀롬, 516.7 
2011,스톡홀롬, 496.7 
2012,스톡홀롬, 630.8 
2013,스톡홀롬, 588.9 
2014,스톡홀롬, 562.5 
2015,스톡홀롬, 569.5 
