Year,지역,Value
2005,한국,15497
2010,한국,59194
2011,한국,62675
2012,한국,59472
2013,한국,55536
2014,한국,52451
2015,한국,54540
2016,한국,61888
2017,한국,70796
2018,한국,84749
2019,한국,98857
2005,일본,114865
2010,일본,129076
2011,일본,138563
2012,일본,136215
2013,일본,135803
2014,일본,132685
2015,일본,131980
2016,일본,143457
2017,일본,164338
2018,일본,182748
2019,일본,202907
2005,미국,590167
2010,미국,684807
2011,미국,709565
2012,미국,740475
2013,미국,772173
2014,미국,829412
2015,미국,907251
2016,미국,971417
2017,미국,984898
2018,미국,987314
2019,미국,976853
2010,캐나다,95590
2011,캐나다,106284
2012,캐나다,151244
2013,캐나다,151244
2014,캐나다,164274
2015,캐나다,171603
2016,캐나다,189478
2017,캐나다,209979
2018,캐나다,224548
2019,캐나다,279168
2005,호주,177034
2010,호주,271231
2011,호주,262597
2012,호주,249588
2013,호주,249868
2014,호주,266048
2015,호주,294438
2016,호주,335512
2017,호주,381202
2018,호주,444514
2019,호주,509160
2005,프랑스 ,236518
2013,프랑스 ,228639
2014,프랑스 ,235123
2015,프랑스 ,239409
2016,프랑스 ,245349
2017,프랑스 ,258380
2018,프랑스 ,229623
2019,프랑스 ,246378
2005,독일,207994
2010,독일,201844
2011,독일,176682
2012,독일,184594
2013,독일,196619
2014,독일,239134
2015,독일,228756
2016,독일,244575
2017,독일,258873
2018,독일,311738
2019,독일,333233
2005,영국,318399
2010,영국,397741
2011,영국,419946
2012,영국,427686
2013,영국,416693
2014,영국,428724
2015,영국,430833
2016,영국,432001
2017,영국,435734
2018,영국,452079
2019,영국,489019
2005,스웨덴,16087
2010,스웨덴,31534
2011,스웨덴,36522
2012,스웨덴,28629
2013,스웨덴,25437
2014,스웨덴,25361
2015,스웨덴,26672
2016,스웨덴,28029
2017,스웨덴,28747
2018,스웨덴,30912
2019,스웨덴,30912
