Year,시도,시군구,Value
2010,0.전국,,35.4
2015,0.전국,,33.7
2020,0.전국,,34.8
2010,1.수도권,,43.7
2015,1.수도권,,41.5
2020,1.수도권,,42.4
2010,2.서울특별시,,46
2015,2.서울특별시,,43.1
2020,2.서울특별시,,43.8
2010,2.서울특별시,강남구,38.2
2015,2.서울특별시,강남구,42
2020,2.서울특별시,강남구,39.5
2010,2.서울특별시,강동구,43
2015,2.서울특별시,강동구,44.4
2020,2.서울특별시,강동구,44.2
2010,2.서울특별시,강북구,47
2015,2.서울특별시,강북구,50
2020,2.서울특별시,강북구,46.3
2010,2.서울특별시,강서구,45.7
2015,2.서울특별시,강서구,49.2
2020,2.서울특별시,강서구,44.7
2010,2.서울특별시,관악구,45.1
2015,2.서울특별시,관악구,48.1
2020,2.서울특별시,관악구,46.1
2010,2.서울특별시,광진구,40.1
2015,2.서울특별시,광진구,42.4
2020,2.서울특별시,광진구,41.9
2010,2.서울특별시,구로구,45.7
2015,2.서울특별시,구로구,48.5
2020,2.서울특별시,구로구,46.7
2010,2.서울특별시,금천구,43.4
2015,2.서울특별시,금천구,46.5
2020,2.서울특별시,금천구,43
2010,2.서울특별시,노원구,49.7
2015,2.서울특별시,노원구,52.7
2020,2.서울특별시,노원구,50.2
2010,2.서울특별시,도봉구,48.5
2015,2.서울특별시,도봉구,50.8
2020,2.서울특별시,도봉구,48.2
2010,2.서울특별시,동대문구,41.1
2015,2.서울특별시,동대문구,43.2
2020,2.서울특별시,동대문구,42.1
2010,2.서울특별시,동작구,43.8
2015,2.서울특별시,동작구,47
2020,2.서울특별시,동작구,43
2010,2.서울특별시,마포구,40.2
2015,2.서울특별시,마포구,42.9
2020,2.서울특별시,마포구,41.2
2010,2.서울특별시,서대문구,42.9
2015,2.서울특별시,서대문구,46.3
2020,2.서울특별시,서대문구,43.5
2010,2.서울특별시,서초구,39.6
2015,2.서울특별시,서초구,43
2020,2.서울특별시,서초구,40.7
2010,2.서울특별시,성동구,38.5
2015,2.서울특별시,성동구,40.5
2020,2.서울특별시,성동구,39.4
2010,2.서울특별시,성북구,44.6
2015,2.서울특별시,성북구,46.8
2020,2.서울특별시,성북구,44.3
2010,2.서울특별시,송파구,41.4
2015,2.서울특별시,송파구,44.3
2020,2.서울특별시,송파구,42.6
2010,2.서울특별시,양천구,45.7
2015,2.서울특별시,양천구,48.6
2020,2.서울특별시,양천구,47.2
2010,2.서울특별시,영등포구,40.9
2015,2.서울특별시,영등포구,43.8
2020,2.서울특별시,영등포구,41
2010,2.서울특별시,용산구,37.9
2015,2.서울특별시,용산구,40.5
2020,2.서울특별시,용산구,39.1
2010,2.서울특별시,은평구,45.9
2015,2.서울특별시,은평구,50.3
2020,2.서울특별시,은평구,47.5
2010,2.서울특별시,종로구,37.2
2015,2.서울특별시,종로구,39.6
2020,2.서울특별시,종로구,38.5
2010,2.서울특별시,중구,32.8
2015,2.서울특별시,중구,34.5
2020,2.서울특별시,중구,35.5
2010,2.서울특별시,중랑구,43.5
2015,2.서울특별시,중랑구,45.9
2020,2.서울특별시,중랑구,45.3
2010,3.인천광역시,,44.1
2015,3.인천광역시,,41.1
2020,3.인천광역시,,40.6
2010,3.인천광역시,강화군,21.8
2015,3.인천광역시,강화군,24.6
2020,3.인천광역시,강화군,26.5
2010,3.인천광역시,계양구,44.4
2015,3.인천광역시,계양구,47.3
2020,3.인천광역시,계양구,43.6
2010,3.인천광역시,남동구,42.3
2015,3.인천광역시,남동구,45.7
2020,3.인천광역시,남동구,41.6
2010,3.인천광역시,동구,39.8
2015,3.인천광역시,동구,41.8
2020,3.인천광역시,동구,36.5
2010,3.인천광역시,미추홀구,-
2015,3.인천광역시,미추홀구,-
2020,3.인천광역시,미추홀구,39.2
2010,3.인천광역시,부평구,44.5
2015,3.인천광역시,부평구,47.8
2020,3.인천광역시,부평구,43.9
2010,3.인천광역시,서구,40.9
2015,3.인천광역시,서구,44.5
2020,3.인천광역시,서구,40.6
2010,3.인천광역시,연수구,38.2
2015,3.인천광역시,연수구,41.8
2020,3.인천광역시,연수구,40
2010,3.인천광역시,옹진군,17.1
2015,3.인천광역시,옹진군,18.6
2020,3.인천광역시,옹진군,17
2010,3.인천광역시,중구,33.3
2015,3.인천광역시,중구,38.2
2020,3.인천광역시,중구,34.4
2010,4.경기도,,41.8
2015,4.경기도,,40.1
2020,4.경기도,,41.3
2010,4.경기도,가평군,19.7
2015,4.경기도,가평군,24.4
2020,4.경기도,가평군,25.1
2010,4.경기도,고양시,45
2015,4.경기도,고양시,48.3
2020,4.경기도,고양시,46.5
2010,4.경기도,과천시,42.8
2015,4.경기도,과천시,47.5
2020,4.경기도,과천시,48.2
2010,4.경기도,광명시,47.1
2015,4.경기도,광명시,47.7
2020,4.경기도,광명시,47.7
2010,4.경기도,광주시,36.7
2015,4.경기도,광주시,38.8
2020,4.경기도,광주시,41.5
2010,4.경기도,구리시,42.8
2015,4.경기도,구리시,44
2020,4.경기도,구리시,45.9
2010,4.경기도,군포시,44.9
2015,4.경기도,군포시,46.6
2020,4.경기도,군포시,44.5
2010,4.경기도,김포시,39
2015,4.경기도,김포시,44.2
2020,4.경기도,김포시,44.2
2010,4.경기도,남양주시,46.7
2015,4.경기도,남양주시,46.9
2020,4.경기도,남양주시,45.6
2010,4.경기도,동두천시,33.9
2015,4.경기도,동두천시,34.4
2020,4.경기도,동두천시,33.7
2010,4.경기도,부천시,44.7
2015,4.경기도,부천시,47
2020,4.경기도,부천시,45.3
2010,4.경기도,성남시,43.5
2015,4.경기도,성남시,45.4
2020,4.경기도,성남시,43.9
2010,4.경기도,수원시,40.4
2015,4.경기도,수원시,43.2
2020,4.경기도,수원시,42.4
2010,4.경기도,시흥시,35.8
2015,4.경기도,시흥시,38.3
2020,4.경기도,시흥시,39.6
2010,4.경기도,안산시,38.4
2015,4.경기도,안산시,40.8
2020,4.경기도,안산시,39.6
2010,4.경기도,안성시,25.1
2015,4.경기도,안성시,25.5
2020,4.경기도,안성시,26.4
2010,4.경기도,안양시,44.4
2015,4.경기도,안양시,47.3
2020,4.경기도,안양시,44.7
2010,4.경기도,양주시,40.1
2015,4.경기도,양주시,39.5
2020,4.경기도,양주시,38.7
2010,4.경기도,양평군,25.4
2015,4.경기도,양평군,32.5
2020,4.경기도,양평군,32.5
2010,4.경기도,여주시,20.9
2015,4.경기도,여주시,23.1
2020,4.경기도,여주시,24.9
2010,4.경기도,연천군,22.9
2015,4.경기도,연천군,23
2020,4.경기도,연천군,23
2010,4.경기도,오산시,35
2015,4.경기도,오산시,35.8
2020,4.경기도,오산시,37.1
2010,4.경기도,용인시,43.7
2015,4.경기도,용인시,44.6
2020,4.경기도,용인시,44.2
2010,4.경기도,의왕시,44
2015,4.경기도,의왕시,45.9
2020,4.경기도,의왕시,44.1
2010,4.경기도,의정부시,46.3
2015,4.경기도,의정부시,47.3
2020,4.경기도,의정부시,44.4
2010,4.경기도,이천시,23.9
2015,4.경기도,이천시,24.3
2020,4.경기도,이천시,26.1
2010,4.경기도,파주시,35.4
2015,4.경기도,파주시,37.3
2020,4.경기도,파주시,36.8
2010,4.경기도,평택시,27.3
2015,4.경기도,평택시,28.9
2020,4.경기도,평택시,30.9
2010,4.경기도,포천시,24.9
2015,4.경기도,포천시,24.9
2020,4.경기도,포천시,25.4
2010,4.경기도,하남시,40.2
2015,4.경기도,하남시,42
2020,4.경기도,하남시,44.9
2010,4.경기도,화성시,34.2
2015,4.경기도,화성시,33.9
2020,4.경기도,화성시,37.6
