Year,지역,Value
2008,서울,65141
2009,서울,66082
2010,서울,68872
2011,서울,70026
2012,서울,70556
2013,서울,71048
2014,서울,72428
2015,서울,74533
2016,서울,76110
2017,서울,78526
2018,서울,82335
2019,서울,83415
2009,도쿄,98299
2010,도쿄,101446
2012,도쿄,115876
2014,도쿄,103267
2016,도쿄,112651
2009,오사카,82225
2010,오사카,84805
2012,오사카,98773
2014,오사카,89459
2016,오사카,97643
2001,뉴욕,143794
2002,뉴욕,143728
2003,뉴욕,144731
2004,뉴욕,146144
2005,뉴욕,146851
2006,뉴욕,149100
2007,뉴욕,150356
2008,뉴욕,146921
2009,뉴욕,153778
2010,뉴욕,159760
2011,뉴욕,159092
2012,뉴욕,165365
2013,뉴욕,165805
2014,뉴욕,167454
2015,뉴욕,170154
2016,뉴욕,174571
2017,뉴욕,175617
2018,뉴욕,181615
2019,뉴욕,184905
2001,토론토,82737
2002,토론토,84552
2003,토론토,81910
2004,토론토,81806
2005,토론토,81605
2006,토론토,81776
2007,토론토,81191
2008,토론토,78566
2009,토론토,81094
2010,토론토,81655
2011,토론토,81046
2012,토론토,82342
2013,토론토,81077
2014,토론토,82701
2015,토론토,86516
2016,토론토,88151
2017,토론토,88018
2018,토론토,88416
2001,시드니,90173
2002,시드니,91257
2003,시드니,91805
2004,시드니,93045
2005,시드니,93481
2006,시드니,94025
2007,시드니,95140
2008,시드니,96241
2009,시드니,98066
2010,시드니,101356
2011,시드니,100052
2012,시드니,100370
2013,시드니,99396
2014,시드니,100689
2015,시드니,100267
2016,시드니,100611
2017,시드니,100947
2018,시드니,99601
2019,시드니,96743
2001,파리,109744
2002,파리,111992
2003,파리,113331
2004,파리,115437
2005,파리,116996
2006,파리,117362
2007,파리,120548
2008,파리,125366
2009,파리,122458
2010,파리,129014
2011,파리,127510
2012,파리,128125
2013,파리,129242
2014,파리,129551
2015,파리,131622
2016,파리,133163
2017,파리,135845
2018,파리,134673
2001,베를린,78710
2002,베를린,78992
2003,베를린,78949
2004,베를린,78394
2005,베를린,79599
2006,베를린,81355
2007,베를린,81559
2008,베를린,82583
2009,베를린,79555
2010,베를린,81290
2011,베를린,83592
2012,베를린,82441
2013,베를린,82063
2014,베를린,83662
2015,베를린,84455
2016,베를린,86197
2017,베를린,86926
2018,베를린,87000
2001,런던,96660
2002,런던,99143
2003,런던,101937
2004,런던,104866
2005,런던,108202
2006,런던,110583
2007,런던,115253
2008,런던,111189
2009,런던,108219
2010,런던,110930
2011,런던,111188
2012,런던,109835
2013,런던,111269
2014,런던,112436
2015,런던,113343
2016,런던,114425
2017,런던,113333
2018,런던,112729
2001,스톡홀롬,93378
2002,스톡홀롬,96686
2003,스톡홀롬,98784
2004,스톡홀롬,107068
2005,스톡홀롬,110166
2006,스톡홀롬,110282
2007,스톡홀롬,114242
2008,스톡홀롬,111864
2009,스톡홀롬,112591
2010,스톡홀롬,115162
2011,스톡홀롬,117380
2012,스톡홀롬,115419
2013,스톡홀롬,115052
2014,스톡홀롬,118085
2015,스톡홀롬,122879
2016,스톡홀롬,122026
2017,스톡홀롬,119827
2018,스톡홀롬,121195
