Year,시도,시군구,Value
2017,0.전국,,38.0
2018,0.전국,,38.2
2019,0.전국,,34.7
2017,1.수도권,,25.8
2018,1.수도권,,26.3
2019,1.수도권,,26.0
2017,2.서울특별시,,17.4
2018,2.서울특별시,,18.8
2019,2.서울특별시,,17.9
2017,2.서울특별시,강남구,16.9
2018,2.서울특별시,강남구,18.7
2019,2.서울특별시,강남구,17.9
2017,2.서울특별시,강동구,20.5
2018,2.서울특별시,강동구,21.7
2019,2.서울특별시,강동구,20.5
2017,2.서울특별시,강북구,21.0
2018,2.서울특별시,강북구,22.7
2019,2.서울특별시,강북구,21.0
2017,2.서울특별시,강서구,16.1
2018,2.서울특별시,강서구,17.6
2019,2.서울특별시,강서구,16.9
2017,2.서울특별시,관악구,17.4
2018,2.서울특별시,관악구,19.2
2019,2.서울특별시,관악구,18.1
2017,2.서울특별시,광진구,17.0
2018,2.서울특별시,광진구,18.4
2019,2.서울특별시,광진구,17.7
2017,2.서울특별시,구로구,16.7
2018,2.서울특별시,구로구,17.9
2019,2.서울특별시,구로구,16.8
2017,2.서울특별시,금천구,17.7
2018,2.서울특별시,금천구,18.8
2019,2.서울특별시,금천구,17.8
2017,2.서울특별시,노원구,19.6
2018,2.서울특별시,노원구,20.9
2019,2.서울특별시,노원구,19.6
2017,2.서울특별시,도봉구,21.0
2018,2.서울특별시,도봉구,22.3
2019,2.서울특별시,도봉구,20.9
2017,2.서울특별시,동대문구,17.4
2018,2.서울특별시,동대문구,18.7
2019,2.서울특별시,동대문구,17.3
2017,2.서울특별시,동작구,15.7
2018,2.서울특별시,동작구,17.3
2019,2.서울특별시,동작구,16.7
2017,2.서울특별시,마포구,16.3
2018,2.서울특별시,마포구,17.8
2019,2.서울특별시,마포구,16.9
2017,2.서울특별시,서대문구,17.5
2018,2.서울특별시,서대문구,18.6
2019,2.서울특별시,서대문구,17.3
2017,2.서울특별시,서초구,16.7
2018,2.서울특별시,서초구,18.3
2019,2.서울특별시,서초구,17.9
2017,2.서울특별시,성동구,16.0
2018,2.서울특별시,성동구,17.3
2019,2.서울특별시,성동구,16.5
2017,2.서울특별시,성북구,19.1
2018,2.서울특별시,성북구,20.9
2019,2.서울특별시,성북구,19.5
2017,2.서울특별시,송파구,18.6
2018,2.서울특별시,송파구,20.2
2019,2.서울특별시,송파구,19.1
2017,2.서울특별시,양천구,16.5
2018,2.서울특별시,양천구,18.0
2019,2.서울특별시,양천구,16.5
2017,2.서울특별시,영등포구,14.4
2018,2.서울특별시,영등포구,15.6
2019,2.서울특별시,영등포구,15.3
2017,2.서울특별시,용산구,16.2
2018,2.서울특별시,용산구,17.4
2019,2.서울특별시,용산구,16.3
2017,2.서울특별시,은평구,18.1
2018,2.서울특별시,은평구,18.6
2019,2.서울특별시,은평구,18.0
2017,2.서울특별시,종로구,17.9
2018,2.서울특별시,종로구,19.5
2019,2.서울특별시,종로구,18.4
2017,2.서울특별시,중구,14.9
2018,2.서울특별시,중구,16.3
2019,2.서울특별시,중구,15.8
2017,2.서울특별시,중랑구,16.3
2018,2.서울특별시,중랑구,17.6
2019,2.서울특별시,중랑구,16.7
2017,3.인천광역시,,32.4
2018,3.인천광역시,,31.5
2019,3.인천광역시,,25.2
2017,3.인천광역시,강화군,63.6
2018,3.인천광역시,강화군,52.4
2019,3.인천광역시,강화군,46.3
2017,3.인천광역시,계양구,18.6
2018,3.인천광역시,계양구,18.5
2019,3.인천광역시,계양구,18.3
2017,3.인천광역시,남동구,20.4
2018,3.인천광역시,남동구,21.2
2019,3.인천광역시,남동구,20.4
2017,3.인천광역시,동구,21.4
2018,3.인천광역시,동구,21.0
2019,3.인천광역시,동구,20.1
2017,3.인천광역시,미추홀구,19.6
2018,3.인천광역시,미추홀구,20.0
2019,3.인천광역시,미추홀구,19.5
2017,3.인천광역시,부평구,17.7
2018,3.인천광역시,부평구,18.0
2019,3.인천광역시,부평구,18.0
2017,3.인천광역시,서구,22.4
2018,3.인천광역시,서구,22.7
2019,3.인천광역시,서구,22.6
2017,3.인천광역시,연수구,22.0
2018,3.인천광역시,연수구,22.5
2019,3.인천광역시,연수구,19.9
2017,3.인천광역시,옹진군,90.1
2018,3.인천광역시,옹진군,89.4
2019,3.인천광역시,옹진군,65.9
2017,3.인천광역시,중구,28.0
2018,3.인천광역시,중구,28.8
2019,3.인천광역시,중구,28.6
2017,4.경기도,,30.4
2018,4.경기도,,30.6
2019,4.경기도,,31.2
2017,4.경기도,가평군,55.8
2018,4.경기도,가평군,55.9
2019,4.경기도,가평군,57.1
2017,4.경기도,고양시,19.3
2018,4.경기도,고양시,20.0
2019,4.경기도,고양시,19.8
2017,4.경기도,과천시,21.8
2018,4.경기도,과천시,22.5
2019,4.경기도,과천시,23.3
2017,4.경기도,광명시,18.1
2018,4.경기도,광명시,19.3
2019,4.경기도,광명시,17.5
2017,4.경기도,광주시,35.1
2018,4.경기도,광주시,34.8
2019,4.경기도,광주시,35.0
2017,4.경기도,구리시,20.2
2018,4.경기도,구리시,21.1
2019,4.경기도,구리시,20.1
2017,4.경기도,군포시,19.7
2018,4.경기도,군포시,20.3
2019,4.경기도,군포시,19.5
2017,4.경기도,김포시,24.4
2018,4.경기도,김포시,24.2
2019,4.경기도,김포시,25.5
2017,4.경기도,남양주시,29.1
2018,4.경기도,남양주시,29.7
2019,4.경기도,남양주시,27.6
2017,4.경기도,동두천시,31.4
2018,4.경기도,동두천시,31.5
2019,4.경기도,동두천시,31.9
2017,4.경기도,부천시,17.8
2018,4.경기도,부천시,18.4
2019,4.경기도,부천시,17.1
2017,4.경기도,성남시,21.1
2018,4.경기도,성남시,21.3
2019,4.경기도,성남시,20.7
2017,4.경기도,수원시,21.2
2018,4.경기도,수원시,22.1
2019,4.경기도,수원시,20.8
2017,4.경기도,시흥시,25.1
2018,4.경기도,시흥시,26.6
2019,4.경기도,시흥시,23.8
2017,4.경기도,안산시,25.4
2018,4.경기도,안산시,26.0
2019,4.경기도,안산시,23.3
2017,4.경기도,안성시,38.5
2018,4.경기도,안성시,36.8
2019,4.경기도,안성시,42.2
2017,4.경기도,안양시,19.5
2018,4.경기도,안양시,20.7
2019,4.경기도,안양시,18.6
2017,4.경기도,양주시,37.1
2018,4.경기도,양주시,36.5
2019,4.경기도,양주시,38.0
2017,4.경기도,양평군,53.7
2018,4.경기도,양평군,52.2
2019,4.경기도,양평군,63.7
2017,4.경기도,여주시,54.9
2018,4.경기도,여주시,52.8
2019,4.경기도,여주시,65.1
2017,4.경기도,연천군,56.3
2018,4.경기도,연천군,53.8
2019,4.경기도,연천군,61.9
2017,4.경기도,오산시,21.7
2018,4.경기도,오산시,23.5
2019,4.경기도,오산시,22.4
2017,4.경기도,용인시,29.4
2018,4.경기도,용인시,30.1
2019,4.경기도,용인시,34.4
2017,4.경기도,의왕시,23.2
2018,4.경기도,의왕시,23.8
2019,4.경기도,의왕시,23.5
2017,4.경기도,의정부시,21.2
2018,4.경기도,의정부시,23.5
2019,4.경기도,의정부시,22.1
2017,4.경기도,이천시,42.9
2018,4.경기도,이천시,42.1
2019,4.경기도,이천시,47.3
2017,4.경기도,파주시,30.0
2018,4.경기도,파주시,29.6
2019,4.경기도,파주시,32.0
2017,4.경기도,평택시,28.0
2018,4.경기도,평택시,28.1
2019,4.경기도,평택시,31.1
2017,4.경기도,포천시,44.2
2018,4.경기도,포천시,43.4
2019,4.경기도,포천시,44.6
2017,4.경기도,하남시,26.7
2018,4.경기도,하남시,28.0
2019,4.경기도,하남시,27.0
2017,4.경기도,화성시,31.1
2018,4.경기도,화성시,31.3
2019,4.경기도,화성시,33.3
