Year,시도,Value
2001,0.전국,2.75
2002,0.전국,2.73
2003,0.전국,2.82
2004,0.전국,2.87
2005,0.전국,2.81
2006,0.전국,2.9
2007,0.전국,3.1
2008,0.전국,3.19
2009,0.전국,3.38
2010,0.전국,3.57
2011,0.전국,3.75
2012,0.전국,3.95
2013,0.전국,4.09
2014,0.전국,4.18
2015,0.전국,4.14
2016,0.전국,4.18
2017,0.전국,4.34
2018,0.전국,4.5
2019,0.전국,4.52
2020,0.전국,4.7
2021,0.전국,4.7
2001,1.수도권,2.32
2002,1.수도권,2.31
2003,1.수도권,2.22
2004,1.수도권,2.25
2005,1.수도권,2.21
2006,1.수도권,2.28
2007,1.수도권,2.49
2008,1.수도권,2.36
2009,1.수도권,2.58
2010,1.수도권,2.66
2011,1.수도권,2.71
2012,1.수도권,2.89
2013,1.수도권,3.01
2014,1.수도권,3.06
2015,1.수도권,3.12
2016,1.수도권,3.16
2017,1.수도권,3.3
2018,1.수도권,3.38
2019,1.수도권,3.35
2020,1.수도권,3.52
2021,1.수도권,3.51
2001,2.서울특별시,1.51
2002,2.서울특별시,1.54
2003,2.서울특별시,1.38
2004,2.서울특별시,1.34
2005,2.서울특별시,1.37
2006,2.서울특별시,1.42
2007,2.서울특별시,1.69
2008,2.서울특별시,1.61
2009,2.서울특별시,1.73
2010,2.서울특별시,1.83
2011,2.서울특별시,1.83
2012,2.서울특별시,1.99
2013,2.서울특별시,1.98
2014,2.서울특별시,1.97
2015,2.서울특별시,1.93
2016,2.서울특별시,1.94
2017,2.서울특별시,1.93
2018,2.서울특별시,1.96
2019,2.서울특별시,1.97
2020,2.서울특별시,2.07
2021,2.서울특별시,2.11
2001,3.인천광역시,2.75
2002,3.인천광역시,2.5
2003,3.인천광역시,2.66
2004,3.인천광역시,2.76
2005,3.인천광역시,2.76
2006,3.인천광역시,2.96
2007,3.인천광역시,3.1
2008,3.인천광역시,2.96
2009,3.인천광역시,2.92
2010,3.인천광역시,3.1
2011,3.인천광역시,3.18
2012,3.인천광역시,3.37
2013,3.인천광역시,3.43
2014,3.인천광역시,3.56
2015,3.인천광역시,3.66
2016,3.인천광역시,3.74
2017,3.인천광역시,3.86
2018,3.인천광역시,4.05
2019,3.인천광역시,3.92
2020,3.인천광역시,4.2
2021,3.인천광역시,4.16
2001,4.경기도,3.36
2002,4.경기도,3.35
2003,4.경기도,3.24
2004,4.경기도,3.29
2005,4.경기도,3.14
2006,4.경기도,3.17
2007,4.경기도,3.31
2008,4.경기도,3.11
2009,4.경기도,3.5
2010,4.경기도,3.49
2011,4.경기도,3.57
2012,4.경기도,3.74
2013,4.경기도,3.98
2014,4.경기도,4.04
2015,4.경기도,4.16
2016,4.경기도,4.19
2017,4.경기도,4.44
2018,4.경기도,4.51
2019,4.경기도,4.47
2020,4.경기도,4.67
2021,4.경기도,4.6
