Year,시도,Value
2011,0.전국,24.1
2012,0.전국,33.3
2013,0.전국,34.1
2014,0.전국,42.2
2015,0.전국,33.3
2016,0.전국,42.4
2017,0.전국,29.7
2018,0.전국,40.8
2019,0.전국,39.1
2020,0.전국,42.7
2021,0.전국,34.0
2022,0.전국,43.3
2011,1.수도권,25.8
2012,1.수도권,32.4
2013,1.수도권,35.0
2014,1.수도권,43.0
2015,1.수도권,34.4
2016,1.수도권,42.5
2017,1.수도권,30.1
2018,1.수도권,40.3
2019,1.수도권,40.6
2020,1.수도권,44.9
2021,1.수도권,33.3
2022,1.수도권,42.5
2011,2.서울특별시,27.2
2012,2.서울특별시,32.7
2013,2.서울특별시,35.8
2014,2.서울특별시,43.4
2015,2.서울특별시,36.6
2016,2.서울특별시,43.1
2017,2.서울특별시,32.3
2018,2.서울특별시,42.1
2019,2.서울특별시,40.6
2020,2.서울특별시,46.4
2021,2.서울특별시,34.1
2022,2.서울특별시,43.2
2011,3.인천광역시,22.6
2012,3.인천광역시,29.3
2013,3.인천광역시,32.7
2014,3.인천광역시,42.6
2015,3.인천광역시,31.3
2016,3.인천광역시,38.9
2017,3.인천광역시,27.7
2018,3.인천광역시,40.0
2019,3.인천광역시,43.6
2020,3.인천광역시,42.3
2021,3.인천광역시,31.1
2022,3.인천광역시,39.4
2011,4.경기도,25.3
2012,4.경기도,32.8
2013,4.경기도,34.8
2014,4.경기도,42.7
2015,4.경기도,33.4
2016,4.경기도,42.8
2017,4.경기도,28.9
2018,4.경기도,39.0
2019,4.경기도,40.0
2020,4.경기도,44.3
2021,4.경기도,33.3
2022,4.경기도,42.6
