Year,시도,Value
2010,0.전국,195401
2011,0.전국,205241
2012,0.전국,206974
2013,0.전국,208376
2014,0.전국,210477
2015,0.전국,215447
2016,0.전국,222027
2017,0.전국,231179
2018,0.전국,233585
2019,0.전국,231621
2020,0.전국,222563
2021,0.전국,236030
2022,0.전국,234667
2010,1.수도권,50390
2011,1.수도권,51581
2012,1.수도권,52234
2013,1.수도권,51741
2014,1.수도권,51247
2015,1.수도권,54388
2016,1.수도권,56505
2017,1.수도권,58130
2018,1.수도권,59207
2019,1.수도권,58067
2020,1.수도권,54718
2021,1.수도권,55599
2022,1.수도권,56026
2010,2.서울특별시,15717
2011,2.서울특별시,15491
2012,2.서울특별시,15203
2013,2.서울특별시,15014
2014,2.서울특별시,14680
2015,2.서울특별시,14966
2016,2.서울특별시,15214
2017,2.서울특별시,15095
2018,2.서울특별시,14746
2019,2.서울특별시,14463
2020,2.서울특별시,13316
2021,2.서울특별시,13388
2022,2.서울특별시,13227
2010,3.인천광역시,10630
2011,3.인천광역시,10260
2012,3.인천광역시,10859
2013,3.인천광역시,10479
2014,3.인천광역시,11212
2015,3.인천광역시,12370
2016,3.인천광역시,12646
2017,3.인천광역시,13422
2018,3.인천광역시,13769
2019,3.인천광역시,13425
2020,3.인천광역시,11226
2021,3.인천광역시,10732
2022,3.인천광역시,10654
2010,4.경기도,24043
2011,4.경기도,25830
2012,4.경기도,26172
2013,4.경기도,26248
2014,4.경기도,25355
2015,4.경기도,27052
2016,4.경기도,28645
2017,4.경기도,29613
2018,4.경기도,30692
2019,4.경기도,30179
2020,4.경기도,30176
2021,4.경기도,31479
2022,4.경기도,32145
