Year,시도,시군구,Value
2012,0.전국,,84.7
2013,0.전국,,86.0
2014,0.전국,,85.9
2015,0.전국,,86.4
2016,0.전국,,87.0
2017,0.전국,,87.4
2018,0.전국,,86.9
2019,0.전국,,86.5
2020,0.전국,,86.2
2021,0.전국,,86.3
2012,1.수도권,,87.2
2013,1.수도권,,87.8
2014,1.수도권,,88.3
2015,1.수도권,,88.3
2016,1.수도권,,88.4
2017,1.수도권,,88.1
2018,1.수도권,,87.3
2019,1.수도권,,86.8
2020,1.수도권,,86.4
2021,1.수도권,,86.3
2012,2.서울특별시,,87.7
2013,2.서울특별시,,87.6
2014,2.서울특별시,,89.6
2015,2.서울특별시,,88.9
2016,2.서울특별시,,89.6
2017,2.서울특별시,,89.0
2018,2.서울특별시,,88.8
2019,2.서울특별시,,88.1
2020,2.서울특별시,,87.6
2021,2.서울특별시,,87.4
2016,2.서울특별시,강남구,85.8
2017,2.서울특별시,강남구,86.6
2018,2.서울특별시,강남구,87.0
2019,2.서울특별시,강남구,86.4
2020,2.서울특별시,강남구,84.9
2021,2.서울특별시,강남구,85.6
2016,2.서울특별시,강동구,88.1
2017,2.서울특별시,강동구,83.4
2018,2.서울특별시,강동구,83.9
2019,2.서울특별시,강동구,85.9
2020,2.서울특별시,강동구,86.6
2021,2.서울특별시,강동구,84.3
2016,2.서울특별시,강북구,88.1
2017,2.서울특별시,강북구,88.0
2018,2.서울특별시,강북구,88.1
2019,2.서울특별시,강북구,86.8
2020,2.서울특별시,강북구,87.1
2021,2.서울특별시,강북구,86.9
2016,2.서울특별시,강서구,81.8
2017,2.서울특별시,강서구,82.5
2018,2.서울특별시,강서구,82.4
2019,2.서울특별시,강서구,82.3
2020,2.서울특별시,강서구,82.2
2021,2.서울특별시,강서구,81.6
2016,2.서울특별시,관악구,89.7
2017,2.서울특별시,관악구,90.4
2018,2.서울특별시,관악구,90.2
2019,2.서울특별시,관악구,89.5
2020,2.서울특별시,관악구,89.4
2021,2.서울특별시,관악구,89.3
2016,2.서울특별시,광진구,96.4
2017,2.서울특별시,광진구,96.8
2018,2.서울특별시,광진구,96.8
2019,2.서울특별시,광진구,96.2
2020,2.서울특별시,광진구,96.3
2021,2.서울특별시,광진구,95.8
2016,2.서울특별시,구로구,92.3
2017,2.서울특별시,구로구,91.7
2018,2.서울특별시,구로구,90.1
2019,2.서울특별시,구로구,87.8
2020,2.서울특별시,구로구,87.3
2021,2.서울특별시,구로구,86.7
2016,2.서울특별시,금천구,90.5
2017,2.서울특별시,금천구,89.7
2018,2.서울특별시,금천구,88.5
2019,2.서울특별시,금천구,87.6
2020,2.서울특별시,금천구,86.9
2021,2.서울특별시,금천구,85.5
2016,2.서울특별시,노원구,84.7
2017,2.서울특별시,노원구,84.5
2018,2.서울특별시,노원구,85.0
2019,2.서울특별시,노원구,84.7
2020,2.서울특별시,노원구,84.0
2021,2.서울특별시,노원구,84.3
2016,2.서울특별시,도봉구,96.2
2017,2.서울특별시,도봉구,96.3
2018,2.서울특별시,도봉구,96.1
2019,2.서울특별시,도봉구,95.5
2020,2.서울특별시,도봉구,95.2
2021,2.서울특별시,도봉구,94.7
2016,2.서울특별시,동대문구,91.0
2017,2.서울특별시,동대문구,91.0
2018,2.서울특별시,동대문구,89.6
2019,2.서울특별시,동대문구,88.2
2020,2.서울특별시,동대문구,89.0
2021,2.서울특별시,동대문구,88.2
2016,2.서울특별시,동작구,92.1
2017,2.서울특별시,동작구,92.1
2018,2.서울특별시,동작구,91.4
2019,2.서울특별시,동작구,90.8
2020,2.서울특별시,동작구,91.4
