Year,지역,Value
2001,0.전국,954266932
2002,0.전국,1020790393
2003,0.전국,1058162561
2004,0.전국,1106646717
2005,0.전국,1157478093
2006,0.전국,1220355850
2007,0.전국,1290847174
2008,0.전국,1325847750
2009,0.전국,1338962852
2010,0.전국,1432683907
2011,0.전국,1484628137
2012,0.전국,1519358867
2013,0.전국,1566633412
2014,0.전국,1615774616
2015,0.전국,1660844316
2016,0.전국,1709742565
2017,0.전국,1762932983
2018,0.전국,1814075680
2019,0.전국,1854370144
2020,0.전국,1842426414
2021,0.전국,1922065762
2001,1.수도권,461280572
2002,1.수도권,497612192
2003,1.수도권,514386671
2004,1.수도권,532563025
2005,1.수도권,560226703
2006,1.수도권,594756365
2007,1.수도권,629798754
2008,1.수도권,649533649
2009,1.수도권,659094699
2010,1.수도권,703410152
2011,1.수도권,728188889
2012,1.수도권,749567486
2013,1.수도권,775838181
2014,1.수도권,800486883
2015,1.수도권,832283679
2016,1.수도권,862764348
2017,1.수도권,901559284
2018,1.수도권,942113549
2019,1.수도권,964521842
2020,1.수도권,972781211
2021,1.수도권,1020480479
2001,2.충청권,98550367
2002,2.충청권,105356934
2003,2.충청권,112935785
2004,2.충청권,121794642
2005,2.충청권,128047259
2006,2.충청권,137598584
2007,2.충청권,145027310
2008,2.충청권,148704818
2009,2.충청권,153740784
2010,2.충청권,168865064
2011,2.충청권,179102940
2012,2.충청권,181923443
2013,2.충청권,189187025
2014,2.충청권,196504154
2015,2.충청권,202914921
2016,2.충청권,211070357
2017,2.충청권,221030577
2018,2.충청권,226275536
2019,2.충청권,231041867
2020,2.충청권,231593245
2021,2.충청권,243994608
2001,3.호남권,101842024
2002,3.호남권,107004857
2003,3.호남권,108173087
2004,3.호남권,112707961
2005,3.호남권,115551677
2006,3.호남권,120277725
2007,3.호남권,126420535
2008,3.호남권,129000203
2009,3.호남권,128416397
2010,3.호남권,139830086
2011,3.호남권,141038652
2012,3.호남권,142557483
2013,3.호남권,146954936
2014,3.호남권,149143183
2015,3.호남권,150741993
2016,3.호남권,153047736
2017,3.호남권,155279255
2018,3.호남권,159457744
2019,3.호남권,163751584
2020,3.호남권,163615448
2021,3.호남권,168859632
2001,4.대경권,90209993
2002,4.대경권,95695013
2003,4.대경권,101551902
2004,4.대경권,108117757
2005,4.대경권,113572939
2006,4.대경권,117646245
2007,4.대경권,125695345
2008,4.대경권,128716093
2009,4.대경권,127160898
2010,4.대경권,136168613
2011,4.대경권,140125082
2012,4.대경권,142570252
2013,4.대경권,147853685
2014,4.대경권,156244809
2015,4.대경권,154942187
2016,4.대경권,157569398
2017,4.대경권,157161041
2018,4.대경권,157107911
2019,4.대경권,159173292
2020,4.대경권,155044470
2021,4.대경권,161253840
2001,5.동남권,167203482
2002,5.동남권,178590523
2003,5.동남권,182483878
2004,5.동남권,191738512
2005,5.동남권,199894606
2006,5.동남권,207832471
2007,5.동남권,219620880
2008,5.동남권,224582570
2009,5.동남권,224397289
2010,5.동남권,236599130
2011,5.동남권,246648160
2012,5.동남권,251660927
2013,5.동남권,253835119
2014,5.동남권,257512659
2015,5.동남권,262146842
2016,5.동남권,264935553
2017,5.동남권,264971374
2018,5.동남권,265440209
2019,5.동남권,270483979
2020,5.동남권,256517124
2021,5.동남권,262503242
2001,6.강원권,26668912
2002,6.강원권,27377155
2003,6.강원권,28861908
2004,6.강원권,29386767
2005,6.강원권,29695748
2006,6.강원권,31550828
2007,6.강원권,32853097
2008,6.강원권,33674653
2009,6.강원권,33976932
2010,6.강원권,35452559
2011,6.강원권,36296644
2012,6.강원권,37021010
2013,6.강원권,38211948
2014,6.강원권,40077987
2015,6.강원권,40867985
2016,6.강원권,42047331
2017,6.강원권,43761362
2018,6.강원권,44574334
2019,6.강원권,46064137
2020,6.강원권,44829136
2021,6.강원권,46781331
2001,7.제주권,9200210
2002,7.제주권,9693184
2003,7.제주권,9960579
2004,7.제주권,10579746
2005,7.제주권,10530282
2006,7.제주권,10740812
2007,7.제주권,11335159
2008,7.제주권,11450325
2009,7.제주권,12158772
2010,7.제주권,12380394
2011,7.제주권,13231976
2012,7.제주권,14067649
2013,7.제주권,14763437
2014,7.제주권,15785920
2015,7.제주권,16946709
2016,7.제주권,18307842
2017,7.제주권,19144657
2018,7.제주권,18968300
2019,7.제주권,19186190
2020,7.제주권,17957495
2021,7.제주권,18173026
