Year,지역,Value
2001,1.수도권,0.61
2002,1.수도권,0.93
2003,1.수도권,0.6
2004,1.수도권,0.61
2005,1.수도권,0.55
2006,1.수도권,0.47
2007,1.수도권,0.35
2008,1.수도권,0.22
2009,1.수도권,0.18
2010,1.수도권,0.13
2011,1.수도권,-0.03
2012,1.수도권,0.03
2013,1.수도권,-0.02
2014,1.수도권,-0.08
2015,1.수도권,-0.13
2016,1.수도권,0.0
2017,1.수도권,0.06
2018,1.수도권,0.24
2019,1.수도권,0.32
2020,1.수도권,0.34
2021,1.수도권,0.22
2001,2.충청권,-0.28
2002,2.충청권,-0.28
2003,2.충청권,0.05
2004,2.충청권,0.65
2005,2.충청권,0.07
2006,2.충청권,0.23
2007,2.충청권,0.36
2008,2.충청권,0.34
2009,2.충청권,0.18
2010,2.충청권,0.42
2011,2.충청권,0.59
2012,2.충청권,0.63
2013,2.충청권,0.49
2014,2.충청권,0.7
2015,2.충청권,0.83
2016,2.충청권,0.73
2017,2.충청권,0.74
2018,2.충청권,0.58
2019,2.충청권,0.17
2020,2.충청권,0.11
2021,2.충청권,0.31
2001,3.호남권,-0.7
2002,3.호남권,-1.81
2003,3.호남권,-0.91
2004,3.호남권,-1.62
2005,3.호남권,-0.98
2006,3.호남권,-0.89
2007,3.호남권,-0.61
2008,3.호남권,-0.45
2009,3.호남권,-0.18
2010,3.호남권,-0.17
2011,3.호남권,-0.04
2012,3.호남권,-0.19
2013,3.호남권,-0.14
2014,3.호남권,-0.12
2015,3.호남권,-0.16
2016,3.호남권,-0.3
2017,3.호남권,-0.35
2018,3.호남권,-0.54
2019,3.호남권,-0.5
2020,3.호남권,-0.48
2021,3.호남권,-0.32
2001,4.대경권,-0.67
2002,4.대경권,-0.77
2003,4.대경권,-0.76
2004,4.대경권,-0.77
2005,4.대경권,-0.7
2006,4.대경권,-0.56
2007,4.대경권,-0.6
2008,4.대경권,-0.52
2009,4.대경권,-0.41
2010,4.대경권,-0.3
2011,4.대경권,-0.15
2012,4.대경권,-0.3
2013,4.대경권,-0.26
2014,4.대경권,-0.32
2015,4.대경권,-0.26
2016,4.대경권,-0.24
2017,4.대경권,-0.34
2018,4.대경권,-0.46
2019,4.대경권,-0.56
2020,4.대경권,-0.67
2021,4.대경권,-0.42
2001,5.동남권,-0.51
2002,5.동남권,-0.5
2003,5.동남권,-0.46
2004,5.동남권,-0.47
2005,5.동남권,-0.4
2006,5.동남권,-0.45
2007,5.동남권,-0.37
2008,5.동남권,-0.22
2009,5.동남권,-0.3
2010,5.동남권,-0.36
2011,5.동남권,-0.23
2012,5.동남권,-0.24
2013,5.동남권,-0.15
2014,5.동남권,-0.08
2015,5.동남권,-0.11
2016,5.동남권,-0.34
2017,5.동남권,-0.46
2018,5.동남권,-0.57
2019,5.동남권,-0.54
2020,5.동남권,-0.57
2021,5.동남권,-0.59
2001,6.강원권,-0.52
2002,6.강원권,-1.11
2003,6.강원권,-0.85
2004,6.강원권,-0.55
2005,6.강원권,-0.76
2006,6.강원권,-0.63
2007,6.강원권,-0.41
2008,6.강원권,0.09
2009,6.강원권,0.12
2010,6.강원권,0.04
2011,6.강원권,0.31
2012,6.강원권,0.05
2013,6.강원권,0.2
2014,6.강원권,0.14
2015,6.강원권,0.31
2016,6.강원권,0.12
2017,6.강원권,0.13
2018,6.강원권,-0.25
2019,6.강원권,0.11
2020,6.강원권,0.36
2021,6.강원권,0.44
2001,7.제주권,-0.06
2002,7.제주권,0.04
2003,7.제주권,-0.26
2004,7.제주권,-0.01
2005,7.제주권,-0.14
2006,7.제주권,-0.34
2007,7.제주권,-0.52
2008,7.제주권,-0.4
2009,7.제주권,-0.18
2010,7.제주권,0.08
2011,7.제주권,0.41
2012,7.제주권,0.85
2013,7.제주권,1.34
2014,7.제주권,1.86
2015,7.제주권,2.33
2016,7.제주권,2.33
2017,7.제주권,2.17
2018,7.제주권,1.35
2019,7.제주권,0.44
2020,7.제주권,0.51
2021,7.제주권,0.58
