Year,시도,시군구,Value
2004,0.전국,,78.98
2005,0.전국,,79.42
2006,0.전국,,79.9
2007,0.전국,,80.35
2008,0.전국,,80.85
2009,0.전국,,81.33
2010,0.전국,,81.46
2011,0.전국,,81.88
2012,0.전국,,82.07
2013,0.전국,,82.59
2014,0.전국,,83.0
2015,0.전국,,83.37
2016,0.전국,,83.59
2017,0.전국,,83.92
2018,0.전국,,83.92
2019,0.전국,,84.57
2007,2.서울특별시,,81.3
2008,2.서울특별시,,81.76
2009,2.서울특별시,,82.27
2010,2.서울특별시,,82.68
2011,2.서울특별시,,83.06
2012,2.서울특별시,,83.31
2013,2.서울특별시,,83.56
2014,2.서울특별시,,83.88
2015,2.서울특별시,,84.23
2016,2.서울특별시,,84.54
2017,2.서울특별시,,84.86
2018,2.서울특별시,,85.09
2019,2.서울특별시,,85.38
2009,2.서울특별시,강남구,83.5
2010,2.서울특별시,강남구,83.88
2011,2.서울특별시,강남구,84.44
2012,2.서울특별시,강남구,84.9
2013,2.서울특별시,강남구,85.2
2014,2.서울특별시,강남구,85.36
2015,2.서울특별시,강남구,85.75
2016,2.서울특별시,강남구,86.14
2017,2.서울특별시,강남구,86.44
2018,2.서울특별시,강남구,86.65
2019,2.서울특별시,강남구,86.86
2009,2.서울특별시,강동구,82.13
2010,2.서울특별시,강동구,82.48
2011,2.서울특별시,강동구,82.83
2012,2.서울특별시,강동구,83.02
2013,2.서울특별시,강동구,83.17
2014,2.서울특별시,강동구,83.48
2015,2.서울특별시,강동구,83.73
2016,2.서울특별시,강동구,84.03
2017,2.서울특별시,강동구,84.24
2018,2.서울특별시,강동구,84.52
2019,2.서울특별시,강동구,85.03
2009,2.서울특별시,강북구,81.0
2010,2.서울특별시,강북구,81.47
2011,2.서울특별시,강북구,81.81
2012,2.서울특별시,강북구,82.28
2013,2.서울특별시,강북구,82.6
2014,2.서울특별시,강북구,82.89
2015,2.서울특별시,강북구,82.85
2016,2.서울특별시,강북구,83.05
2017,2.서울특별시,강북구,83.39
2018,2.서울특별시,강북구,83.72
2019,2.서울특별시,강북구,84.01
2009,2.서울특별시,강서구,81.3
2010,2.서울특별시,강서구,81.63
2011,2.서울특별시,강서구,82.1
2012,2.서울특별시,강서구,82.56
2013,2.서울특별시,강서구,82.81
2014,2.서울특별시,강서구,82.99
2015,2.서울특별시,강서구,83.22
2016,2.서울특별시,강서구,83.56
2017,2.서울특별시,강서구,84.02
2018,2.서울특별시,강서구,84.23
2019,2.서울특별시,강서구,84.58
2009,2.서울특별시,관악구,81.38
2010,2.서울특별시,관악구,81.86
2011,2.서울특별시,관악구,82.27
2012,2.서울특별시,관악구,82.63
2013,2.서울특별시,관악구,82.92
2014,2.서울특별시,관악구,83.23
2015,2.서울특별시,관악구,83.54
2016,2.서울특별시,관악구,83.74
2017,2.서울특별시,관악구,84.03
2018,2.서울특별시,관악구,84.35
2019,2.서울특별시,관악구,84.74
2009,2.서울특별시,광진구,82.05
2010,2.서울특별시,광진구,82.52
2011,2.서울특별시,광진구,82.9
2012,2.서울특별시,광진구,83.25
2013,2.서울특별시,광진구,83.67
2014,2.서울특별시,광진구,83.74
2015,2.서울특별시,광진구,83.9
2016,2.서울특별시,광진구,84.27
2017,2.서울특별시,광진구,84.55
2018,2.서울특별시,광진구,84.8
2019,2.서울특별시,광진구,85.1
2009,2.서울특별시,구로구,81.49
2010,2.서울특별시,구로구,81.91
2011,2.서울특별시,구로구,82.2
2012,2.서울특별시,구로구,82.56
2013,2.서울특별시,구로구,83.08
2014,2.서울특별시,구로구,83.47
2015,2.서울특별시,구로구,83.97
2016,2.서울특별시,구로구,84.32
2017,2.서울특별시,구로구,84.58
2018,2.서울특별시,구로구,84.72
2019,2.서울특별시,구로구,84.98
2009,2.서울특별시,금천구,80.79
2010,2.서울특별시,금천구,81.16
2011,2.서울특별시,금천구,81.53
2012,2.서울특별시,금천구,81.87
2013,2.서울특별시,금천구,82.11
2014,2.서울특별시,금천구,82.12
2015,2.서울특별시,금천구,82.52
2016,2.서울특별시,금천구,82.66
2017,2.서울특별시,금천구,83.05
2018,2.서울특별시,금천구,83.43
2019,2.서울특별시,금천구,83.82
2009,2.서울특별시,노원구,81.12
2010,2.서울특별시,노원구,81.48
2011,2.서울특별시,노원구,81.93
2012,2.서울특별시,노원구,82.33
2013,2.서울특별시,노원구,82.76
2014,2.서울특별시,노원구,83.17
2015,2.서울특별시,노원구,83.56
2016,2.서울특별시,노원구,83.9
2017,2.서울특별시,노원구,84.17
2018,2.서울특별시,노원구,84.38
2019,2.서울특별시,노원구,84.53
2009,2.서울특별시,도봉구,82.05
2010,2.서울특별시,도봉구,82.48
2011,2.서울특별시,도봉구,82.88
2012,2.서울특별시,도봉구,82.98
2013,2.서울특별시,도봉구,83.21
2014,2.서울특별시,도봉구,83.36
2015,2.서울특별시,도봉구,83.6
2016,2.서울특별시,도봉구,83.73
2017,2.서울특별시,도봉구,84.12
2018,2.서울특별시,도봉구,84.35
2019,2.서울특별시,도봉구,84.67
2009,2.서울특별시,동대문구,80.87
2010,2.서울특별시,동대문구,81.11
2011,2.서울특별시,동대문구,81.49
2012,2.서울특별시,동대문구,81.87
2013,2.서울특별시,동대문구,82.28
2014,2.서울특별시,동대문구,82.63
2015,2.서울특별시,동대문구,83.12
2016,2.서울특별시,동대문구,83.42
2017,2.서울특별시,동대문구,83.89
2018,2.서울특별시,동대문구,84.16
2019,2.서울특별시,동대문구,84.52
2009,2.서울특별시,동작구,82.43
2010,2.서울특별시,동작구,82.81
2011,2.서울특별시,동작구,83.25
2012,2.서울특별시,동작구,83.41
2013,2.서울특별시,동작구,83.97
2014,2.서울특별시,동작구,84.36
2015,2.서울특별시,동작구,84.65
2016,2.서울특별시,동작구,85.01
2017,2.서울특별시,동작구,85.26
2018,2.서울특별시,동작구,85.68
2019,2.서울특별시,동작구,85.87
2009,2.서울특별시,마포구,82.08
2010,2.서울특별시,마포구,82.49
2011,2.서울특별시,마포구,82.83
2012,2.서울특별시,마포구,83.3
2013,2.서울특별시,마포구,83.9
2014,2.서울특별시,마포구,84.07
2015,2.서울특별시,마포구,84.38
2016,2.서울특별시,마포구,84.52
2017,2.서울특별시,마포구,85.05
2018,2.서울특별시,마포구,85.24
2019,2.서울특별시,마포구,85.38
2009,2.서울특별시,서대문구,81.74
2010,2.서울특별시,서대문구,82.24
2011,2.서울특별시,서대문구,82.68
2012,2.서울특별시,서대문구,83.24
2013,2.서울특별시,서대문구,83.57
2014,2.서울특별시,서대문구,84.05
2015,2.서울특별시,서대문구,84.42
2016,2.서울특별시,서대문구,84.64
2017,2.서울특별시,서대문구,84.95
2018,2.서울특별시,서대문구,85.16
2019,2.서울특별시,서대문구,85.48
2009,2.서울특별시,서초구,83.9
2010,2.서울특별시,서초구,84.26
2011,2.서울특별시,서초구,84.64
2012,2.서울특별시,서초구,84.96
2013,2.서울특별시,서초구,85.24
2014,2.서울특별시,서초구,85.53
2015,2.서울특별시,서초구,85.78
2016,2.서울특별시,서초구,85.91
2017,2.서울특별시,서초구,86.34
2018,2.서울특별시,서초구,86.8
2019,2.서울특별시,서초구,87.13
2009,2.서울특별시,성동구,81.66
2010,2.서울특별시,성동구,81.99
2011,2.서울특별시,성동구,82.4
2012,2.서울특별시,성동구,82.66
2013,2.서울특별시,성동구,83.06
2014,2.서울특별시,성동구,83.5
2015,2.서울특별시,성동구,83.83
2016,2.서울특별시,성동구,84.37
2017,2.서울특별시,성동구,84.57
2018,2.서울특별시,성동구,85.01
2019,2.서울특별시,성동구,85.38
