Year,지역,Unnamed: 3,Unnamed: 4,Value
2010,0.전국,,,8.38
2011,0.전국,,,8.29
2012,0.전국,,,7.66
2013,0.전국,,,7.57
2014,0.전국,,,7.45
2015,0.전국,,,7.67
2016,0.전국,,,7.63
2017,0.전국,,,7.71
2018,0.전국,,,7.8
2019,0.전국,,,7.79
2020,0.전국,,,7.79
2021,0.전국,,,7.8
2022,0.전국,,,7.8
2010,1.수도권,,,8.42
2011,1.수도권,,,8.31
2012,1.수도권,,,7.89
2013,1.수도권,,,7.64
2014,1.수도권,,,7.57
2015,1.수도권,,,7.79
2016,1.수도권,,,7.76
2017,1.수도권,,,7.85
2018,1.수도권,,,7.9
2019,1.수도권,,,7.87
2020,1.수도권,,,7.87
2021,1.수도권,,,7.86
2022,1.수도권,,,7.91
2010,2.충청권,,,8.32
2011,2.충청권,,,8.3
2012,2.충청권,,,7.65
2013,2.충청권,,,7.56
2014,2.충청권,,,7.36
2015,2.충청권,,,7.62
2016,2.충청권,,,7.6
2017,2.충청권,,,7.68
2018,2.충청권,,,7.86
2019,2.충청권,,,7.8
2020,2.충청권,,,7.8
2021,2.충청권,,,7.82
2022,2.충청권,,,7.84
2010,3.호남권,,,8.44
2011,3.호남권,,,8.31
2012,3.호남권,,,7.52
2013,3.호남권,,,7.46
2014,3.호남권,,,7.38
2015,3.호남권,,,7.6
2016,3.호남권,,,7.57
2017,3.호남권,,,7.6
2018,3.호남권,,,7.68
2019,3.호남권,,,7.68
2020,3.호남권,,,7.68
2021,3.호남권,,,7.72
2022,3.호남권,,,7.72
2010,4.대경권,,,8.31
2011,4.대경권,,,8.25
2012,4.대경권,,,7.52
2013,4.대경권,,,7.53
2014,4.대경권,,,7.31
2015,4.대경권,,,7.64
2016,4.대경권,,,7.48
2017,4.대경권,,,7.58
2018,4.대경권,,,7.67
2019,4.대경권,,,7.78
2020,4.대경권,,,7.78
2021,4.대경권,,,7.69
2022,4.대경권,,,7.72
2010,5.동남권,,,8.4
2011,5.동남권,,,8.28
2012,5.동남권,,,7.44
2013,5.동남권,,,7.55
2014,5.동남권,,,7.39
2015,5.동남권,,,7.51
2016,5.동남권,,,7.48
2017,5.동남권,,,7.53
2018,5.동남권,,,7.92
2019,5.동남권,,,7.91
2020,5.동남권,,,7.91
2021,5.동남권,,,7.92
2022,5.동남권,,,7.86
2010,6.강원권,,,8.26
2011,6.강원권,,,8.24
2012,6.강원권,,,7.69
2013,6.강원권,,,7.65
2014,6.강원권,,,7.53
2015,6.강원권,,,7.74
2016,6.강원권,,,7.71
2017,6.강원권,,,7.84
2018,6.강원권,,,7.57
2019,6.강원권,,,7.58
2020,6.강원권,,,7.58
2021,6.강원권,,,7.69
2022,6.강원권,,,7.43
2010,7.제주권,,,8.39
2011,7.제주권,,,8.5
2012,7.제주권,,,6.29
2013,7.제주권,,,7.06
2014,7.제주권,,,6.82
2015,7.제주권,,,7.05
2016,7.제주권,,,7.03
2017,7.제주권,,,7.84
2018,7.제주권,,,7.56
2019,7.제주권,,,6.84
2020,7.제주권,,,6.84
2021,7.제주권,,,7.83
2022,7.제주권,,,7.83
