Year,지역,Value
2001,0.전국,954266932
2002,0.전국,1020790393
2003,0.전국,1058162561
2004,0.전국,1106646717
2005,0.전국,1157478093
2006,0.전국,1220355850
2007,0.전국,1290847174
2008,0.전국,1325847750
2009,0.전국,1338962852
2010,0.전국,1432683907
2011,0.전국,1484628137
2012,0.전국,1519358867
2013,0.전국,1566633412
2014,0.전국,1615774616
2015,0.전국,1660844316
2016,0.전국,1709742565
2017,0.전국,1762932983
2018,0.전국,1814075680
2019,0.전국,1854370144
2001,1.수도권,462117117
2002,1.수도권,498427505
2003,1.수도권,514936581
2004,1.수도권,532927279
2005,1.수도권,560414179
2006,1.수도권,594672564
2007,1.수도권,629751910
2008,1.수도권,649382926
2009,1.수도권,658862086
2010,1.수도권,703266704
2011,1.수도권,728041493
2012,1.수도권,749518870
2013,1.수도권,775823051
2014,1.수도권,800515472
2015,1.수도권,832283679
2016,1.수도권,862764348
2017,1.수도권,901549078
2018,1.수도권,941947375
2019,1.수도권,964344499
2001,2.충청권,98540489
2002,2.충청권,105359981
2003,2.충청권,112919961
2004,2.충청권,121697834
2005,2.충청권,127973548
2006,2.충청권,137489136
2007,2.충청권,144895920
2008,2.충청권,148705768
2009,2.충청권,153680715
2010,2.충청권,168808179
2011,2.충청권,179029182
2012,2.충청권,181844176
2013,2.충청권,189181922
2014,2.충청권,196512872
2015,2.충청권,202914921
2016,2.충청권,211070357
2017,2.충청권,221031443
2018,2.충청권,226262512
2019,2.충청권,231013686
2001,3.호남권,101758153
2002,3.호남권,106911338
2003,3.호남권,108084305
2004,3.호남권,112629359
2005,3.호남권,115472744
2006,3.호남권,120192208
2007,3.호남권,126341480
2008,3.호남권,128926753
2009,3.호남권,128365634
2010,3.호남권,139777201
2011,3.호남권,140995504
2012,3.호남권,142520772
2013,3.호남권,146932964
2014,3.호남권,149142556
2015,3.호남권,150741993
2016,3.호남권,153047736
2017,3.호남권,155277894
2018,3.호남권,159455159
2019,3.호남권,163748092
2001,4.대경권,90624909
2002,4.대경권,96071612
2003,4.대경권,101769465
2004,4.대경권,108313038
2005,4.대경권,113636113
2006,4.대경권,117696164
2007,4.대경권,125696146
2008,4.대경권,128717211
2009,4.대경권,127153621
2010,4.대경권,136159027
2011,4.대경권,140124005
2012,4.대경권,142597214
2013,4.대경권,147878998
2014,4.대경권,156230706
2015,4.대경권,154942187
2016,4.대경권,157569398
2017,4.대경권,157150999
2018,4.대경권,157114098
2019,4.대경권,159179864
2001,5.동남권,167734703
2002,5.동남권,179292568
2003,5.동남권,182851924
2004,5.동남권,192601389
2005,5.동남권,200678184
2006,5.동남권,208435013
2007,5.동남권,220179223
2008,5.동남권,224725954
2009,5.동남권,224394401
2010,5.동남권,236520304
2011,5.동남권,246568500
2012,5.동남권,251612567
2013,5.동남권,253798048
2014,5.동남권,257511115
2015,5.동남권,262146842
2016,5.동남권,264935553
2017,5.동남권,264972282
2018,5.동남권,265458581
2019,5.동남권,270500873
2001,6.강원권,26668912
2002,6.강원권,27377155
2003,6.강원권,28861908
2004,6.강원권,29386767
2005,6.강원권,29695748
2006,6.강원권,31550828
2007,6.강원권,32853097
2008,6.강원권,33674653
2009,6.강원권,33976932
2010,6.강원권,35452559
2011,6.강원권,36296644
2012,6.강원권,37021010
2013,6.강원권,38211948
2014,6.강원권,40077987
2015,6.강원권,40867985
2016,6.강원권,42047331
2017,6.강원권,43761362
2018,6.강원권,44574334
2019,6.강원권,46064137
2001,7.제주권,9200210
2002,7.제주권,9693184
2003,7.제주권,9960579
2004,7.제주권,10579746
2005,7.제주권,10530282
2006,7.제주권,10740812
2007,7.제주권,11335159
2008,7.제주권,11450325
2009,7.제주권,12158772
2010,7.제주권,12380394
2011,7.제주권,13231976
2012,7.제주권,14067649
2013,7.제주권,14763437
2014,7.제주권,15785920
2015,7.제주권,16946709
2016,7.제주권,18307842
2017,7.제주권,19144657
2018,7.제주권,18968300
2019,7.제주권,19186190
