Year,지역,Value
2005,서울,23.9
2010,서울,23.0
2011,서울,25.8
2012,서울,26.0
2013,서울,28.0
2014,서울,28.3
2015,서울,27.4
2016,서울,28.3
2017,서울,27.3
2018,서울,27.8
2019,서울,27.8
2005,도쿄,13.6
2010,도쿄,13.0
2011,도쿄,14.0
2012,도쿄,14.4
2013,도쿄,14.9
2014,도쿄,15.0
2015,도쿄,15.0
2016,도쿄,14.7
2017,도쿄,15.1
2018,도쿄,14.9
2019,도쿄,14.9
2005,오사카,12.9
2010,오사카,12.1
2011,오사카,13.4
2012,오사카,14.0
2013,오사카,14.3
2014,오사카,14.6
2015,오사카,14.1
2016,오사카,14.1
2017,오사카,14.4
2018,오사카,14.3
2019,오사카,14.3
2005,뉴욕,11.3
2010,뉴욕,9.3
2011,뉴욕,9.9
2012,뉴욕,8.8
2013,뉴욕,9.1
2014,뉴욕,8.6
2015,뉴욕,8.0
2016,뉴욕,7.4
2017,뉴욕,7.7
2018,뉴욕,7.8
2019,뉴욕,7.7
2005,토론토,11.1
2010,토론토,8.4
2011,토론토,8.3
2012,토론토,8.7
2013,토론토,8.2
2014,토론토,8.6
2015,토론토,8.2
2016,토론토,6.9
2017,토론토,7.8
2018,토론토,7.7
2019,토론토,7.6
2005,파리,17.4
2010,파리,19.2
2011,파리,18.4
2012,파리,16.8
2013,파리,16.5
2014,파리,13.8
2015,파리,14.7
2016,파리,13.8
2017,파리,13.9
2018,파리,13.8
2019,파리,13.6
2005,베를린,20.3
2010,베를린,22.3
2011,베를린,20.7
2012,베를린,18.0
2013,베를린,16.9
2014,베를린,16.2
2015,베를린,17.0
2016,베를린,14.9
2017,베를린,16.2
2018,베를린,15.8
2019,베를린,15.7
2005,런던,15.9
2010,런던,15.2
2011,런던,16.5
2012,런던,13.9
2013,런던,14.3
2014,런던,13.0
2015,런던,12.5
2016,런던,12.4
2017,런던,13.2
2018,런던,12.6
2019,런던,12.5
2005,스톡홀롬,7.3
2010,스톡홀롬,7.5
2011,스톡홀롬,7.4
2012,스톡홀롬,6.2
2013,스톡홀롬,6.3
2014,스톡홀롬,6.5
2015,스톡홀롬,6.0
2016,스톡홀롬,5.5
2017,스톡홀롬,5.7
2018,스톡홀롬,5.8
2019,스톡홀롬,5.8
