Year,시도,시군구,Value
2002,1.수도권,,47.2
2006,1.수도권,,45.8
2010,1.수도권,,47.6
2016,1.수도권,,51.9
2002,2.서울특별시,,54.9
2006,2.서울특별시,,56.8
2010,2.서울특별시,,58.5
2016,2.서울특별시,,65.4
2002,2.서울특별시,강남구,46.52056254
2006,2.서울특별시,강남구,51.18379119
2010,2.서울특별시,강남구,52.61149387
2016,2.서울특별시,강남구,58.67300183
2002,2.서울특별시,강동구,42.7644843
2006,2.서울특별시,강동구,40.26168523
2010,2.서울특별시,강동구,50.93797088
2016,2.서울특별시,강동구,58.02551292
2002,2.서울특별시,강북구,63.37154858
2006,2.서울특별시,강북구,66.72186545
2010,2.서울특별시,강북구,65.79881657
2016,2.서울특별시,강북구,66.17871591
2002,2.서울특별시,강서구,50.2278125
2006,2.서울특별시,강서구,49.59198342
2010,2.서울특별시,강서구,55.56314988
2016,2.서울특별시,강서구,55.6254623
2002,2.서울특별시,관악구,61.60694635
2006,2.서울특별시,관악구,68.26615167
2010,2.서울특별시,관악구,69.65028401
2016,2.서울특별시,관악구,71.02714198
2002,2.서울특별시,광진구,58.85455634
2006,2.서울특별시,광진구,59.25661961
2010,2.서울특별시,광진구,61.10683048
2016,2.서울특별시,광진구,68.81213009
2002,2.서울특별시,구로구,56.7744995
2006,2.서울특별시,구로구,56.96113634
2010,2.서울특별시,구로구,60.48779579
2016,2.서울특별시,구로구,72.26862947
2002,2.서울특별시,금천구,49.90303919
2006,2.서울특별시,금천구,53.88259319
2010,2.서울특별시,금천구,62.05139029
2016,2.서울특별시,금천구,55.52350381
2002,2.서울특별시,노원구,53.02661327
2006,2.서울특별시,노원구,57.20499677
2010,2.서울특별시,노원구,57.20109382
2016,2.서울특별시,노원구,64.39428175
2002,2.서울특별시,도봉구,54.50988141
2006,2.서울특별시,도봉구,59.99422421
2010,2.서울특별시,도봉구,60.41977679
2016,2.서울특별시,도봉구,67.01387361
2002,2.서울특별시,동대문구,56.83570694
2006,2.서울특별시,동대문구,60.77753673
2010,2.서울특별시,동대문구,63.15324329
2016,2.서울특별시,동대문구,65.36609487
2002,2.서울특별시,동작구,64.16803995
2006,2.서울특별시,동작구,71.65646728
2010,2.서울특별시,동작구,64.49196633
2016,2.서울특별시,동작구,79.60156938
2002,2.서울특별시,마포구,59.19915082
2006,2.서울특별시,마포구,58.34881269
2010,2.서울특별시,마포구,56.59041514
2016,2.서울특별시,마포구,70.49769324
2002,2.서울특별시,서대문구,60.50919677
2006,2.서울특별시,서대문구,64.96055117
2010,2.서울특별시,서대문구,67.40097096
2016,2.서울특별시,서대문구,69.79788402
2002,2.서울특별시,서초구,54.56515348
2006,2.서울특별시,서초구,54.28641556
2010,2.서울특별시,서초구,61.65003557
2016,2.서울특별시,서초구,66.33715148
2002,2.서울특별시,성동구,54.41078118
2006,2.서울특별시,성동구,56.0898632
2010,2.서울특별시,성동구,52.23543635
2016,2.서울특별시,성동구,64.45870257
2002,2.서울특별시,성북구,61.51856744
2006,2.서울특별시,성북구,66.02367681
2010,2.서울특별시,성북구,63.86042225
2016,2.서울특별시,성북구,63.92512191
2002,2.서울특별시,송파구,46.45943849
2006,2.서울특별시,송파구,44.78405064
2010,2.서울특별시,송파구,50.76677963
2016,2.서울특별시,송파구,57.22700026
2002,2.서울특별시,양천구,46.2075137
2006,2.서울특별시,양천구,47.33375532
2010,2.서울특별시,양천구,45.47771732
2016,2.서울특별시,양천구,51.70399357
2002,2.서울특별시,영등포구,51.63552844
2006,2.서울특별시,영등포구,53.40535319
2010,2.서울특별시,영등포구,57.22256802
2016,2.서울특별시,영등포구,65.70743354
2002,2.서울특별시,용산구,56.23097936
2006,2.서울특별시,용산구,56.0584019
2010,2.서울특별시,용산구,58.54523111
2016,2.서울특별시,용산구,68.33115609
2002,2.서울특별시,은평구,51.29758443
2006,2.서울특별시,은평구,57.35694677
2010,2.서울특별시,은평구,61.36821728
2016,2.서울특별시,은평구,64.80027118
2002,2.서울특별시,종로구,63.19823274
2006,2.서울특별시,종로구,64.48842997
2010,2.서울특별시,종로구,60.27360607
2016,2.서울특별시,종로구,68.63008994
2002,2.서울특별시,중구,63.67925155
2006,2.서울특별시,중구,62.31960872
2010,2.서울특별시,중구,58.39574644
2016,2.서울특별시,중구,74.25081663
2002,2.서울특별시,중랑구,54.78583703
2006,2.서울특별시,중랑구,53.59595914
2010,2.서울특별시,중랑구,56.86964886
2016,2.서울특별시,중랑구,62.45792084
2002,3.인천광역시,,41.0
2006,3.인천광역시,,37.2
2010,3.인천광역시,,40.4
2016,3.인천광역시,,42.0
2002,3.인천광역시,강화군,20.45833231
2006,3.인천광역시,강화군,14.61646101
2010,3.인천광역시,강화군,19.81039555
2016,3.인천광역시,강화군,12.70642561
2002,3.인천광역시,계양구,38.20143264
2006,3.인천광역시,계양구,36.76373704
2010,3.인천광역시,계양구,41.664788
2016,3.인천광역시,계양구,50.03742747
2002,3.인천광역시,남동구,47.92797432
2006,3.인천광역시,남동구,46.35921558
2010,3.인천광역시,남동구,46.09914709
2016,3.인천광역시,남동구,50.82379556
2002,3.인천광역시,동구,38.98750616
2006,3.인천광역시,동구,32.87707766
2010,3.인천광역시,동구,36.61399117
2016,3.인천광역시,동구,37.60748077
2002,3.인천광역시,미추홀구,35.7400463
2006,3.인천광역시,미추홀구,33.4967288
2010,3.인천광역시,미추홀구,33.15533628
2016,3.인천광역시,미추홀구,29.13296146
2002,3.인천광역시,부평구,50.86773694
2006,3.인천광역시,부평구,44.60716069
2010,3.인천광역시,부평구,48.46590313
2016,3.인천광역시,부평구,54.64314381
2002,3.인천광역시,서구,32.75152885
2006,3.인천광역시,서구,30.61028788
2010,3.인천광역시,서구,30.95615234
2016,3.인천광역시,서구,34.47833309
2002,3.인천광역시,연수구,34.94729386
2006,3.인천광역시,연수구,33.78160909
2010,3.인천광역시,연수구,38.96925122
2016,3.인천광역시,연수구,32.89736468
2002,3.인천광역시,옹진군,7.944927536
2006,3.인천광역시,옹진군,12.84323138
2010,3.인천광역시,옹진군,17.44479752
2016,3.인천광역시,옹진군,24.48875386
2002,3.인천광역시,중구,37.87038677
2006,3.인천광역시,중구,35.37309856
2010,3.인천광역시,중구,39.76892946
2016,3.인천광역시,중구,42.62657528
2002,4.경기도,,38.7
2006,4.경기도,,34.2
2010,4.경기도,,36.6
2016,4.경기도,,38.6
2002,4.경기도,가평군,20.31757918
2006,4.경기도,가평군,19.16179679
2010,4.경기도,가평군,16.05840797
2016,4.경기도,가평군,16.46847372
2002,4.경기도,고양시,37.6356382
2006,4.경기도,고양시,36.01698239
2010,4.경기도,고양시,39.48519282
2016,4.경기도,고양시,41.67114403
2002,4.경기도,과천시,46.91424262
