Value,Disaggregation combinations using this value,Number of indicators
가평군,2,1
강남구,2,1
강동구,2,1
강북구,2,1
강서구,2,1
강화군,2,1
계양구,2,1
고양시,2,1
과천시,2,1
관악구,2,1
광명시,2,1
광주시,2,1
광진구,2,1
구로구,2,1
구리시,2,1
군포시,2,1
금천구,2,1
김포시,2,1
남동구,2,1
남양주시,2,1
노원구,2,1
도봉구,2,1
동구,2,1
동대문구,2,1
동두천시,2,1
동작구,2,1
마포구,2,1
미추홀구,2,1
부천시,2,1
부평구,2,1
서구,2,1
서대문구,2,1
서초구,2,1
성남시,2,1
성동구,2,1
성북구,2,1
송파구,2,1
수원시,2,1
시흥시,2,1
안산시,2,1
안성시,2,1
안양시,2,1
양주시,2,1
양천구,2,1
양평군,2,1
여주시,2,1
연수구,2,1
연천군,2,1
영등포구,2,1
오산시,2,1
옹진군,2,1
용산구,2,1
용인시,2,1
은평구,2,1
의왕시,2,1
의정부시,2,1
이천시,2,1
종로구,2,1
중구,4,1
중랑구,2,1
파주시,2,1
평택시,2,1
포천시,2,1
하남시,2,1
화성시,2,1
