Value,Disaggregation combinations using this value,Number of indicators
가평군,32,31
강남구,36,32
강동구,36,32
강북구,36,32
강서구,36,32
강화군,32,31
계양구,36,32
고양시,34,30
고양시덕양구,4,4
고양시일산구,3,3
고양시일산동구,4,4
고양시일산서구,4,4
과천시,36,32
관악구,36,32
광명시,36,32
광주시,36,32
광진구,36,32
구로구,36,32
구리시,36,32
군포시,36,32
권선구,2,2
금천구,36,32
기흥구,2,2
김포시,36,32
남구,14,14
남동구,36,32
남양주시,36,32
노원구,36,32
단원구,2,2
덕양구,2,2
도봉구,36,32
동구,36,32
동대문구,36,32
동두천시,36,32
동안구,2,2
동작구,36,32
마포구,36,32
만안구,2,2
미추홀구,36,32
본청,9,3
부천시,36,32
부천시소사구,3,3
부천시오정구,3,3
부천시원미구,3,3
부평구,36,32
분당구,2,2
상록구,2,2
서구,36,32
서대문구,36,32
서초구,36,32
성남시,34,30
성남시분당구,4,4
성남시수정구,4,4
성남시중원구,4,4
성동구,36,32
성북구,36,32
소사구,1,1
송파구,36,32
수원시,34,30
수원시권선구,4,4
수원시영통구,4,4
수원시장안구,4,4
수원시팔달구,4,4
수정구,2,2
수지구,2,2
시흥시,36,32
안산시,34,30
안산시단원구,4,4
안산시상록구,4,4
안성시,36,32
안양시,34,30
안양시동안구,4,4
안양시만안구,4,4
양주군,2,2
양주시,36,32
양천구,36,32
양평군,32,31
여주군,10,10
여주시,36,32
연수구,36,32
연천군,32,31
영등포구,36,32
영통구,2,2
오산시,36,32
오정구,1,1
옹진군,31,30
용산구,36,32
용인시,36,32
용인시기흥구,4,4
용인시수지구,4,4
용인시처인구,4,4
원미구,1,1
은평구,36,32
의왕시,36,32
의정부시,36,32
이천시,36,32
일산동구,2,2
일산서구,2,2
장안구,2,2
종로구,36,32
중구,72,32
중랑구,36,32
중원구,2,2
처인구,2,2
파주시,36,32
팔달구,2,2
평택시,36,32
포천군,2,2
포천시,36,32
하남시,36,32
화성시,36,32
